sub2	tbasej2	lap1_32	lap1_33	cur1_32	cur1_33	rp2431	rp3445
		0.334858	0.117482	0.0156724	0.0188828		
		0.335296	0.117487	0.0146784	0.0185703		
		0.335721	0.117492	0.016225	0.0183947		
		0.336132	0.117495	0.016554	0.0184753		
		0.336529	0.117498	0.0147604	0.0177497		
		0.336913	0.117501	0.0164042	0.0188415		
		0.337284	0.117504	0.0142051	0.0178445		
		0.337642	0.117508	0.013326	0.0175261		
		0.337987	0.117511	0.0129073	0.0180124		
		0.338314	0.117514	0.0134391	0.0177545		
		0.338627	0.117518	0.0162497	0.0193618		
		0.338924	0.11752	0.0143863	0.0202674		
		0.339206	0.117524	0.0147256	0.018027		
		0.339476	0.117528	0.0139348	0.01877		
		0.339731	0.117534	0.0142153	0.0140663		
		0.339974	0.117542	0.0175873	0.0177075		
		0.340203	0.117551	0.0134303	0.0183219		
		0.340418	0.117561	0.0149504	0.0177065		
		0.340618	0.117571	0.0127033	0.0156769		
		0.340807	0.117582	0.0165828	0.0187203		
		0.340982	0.117593	0.0166884	0.0169024		
		0.341143	0.117604	0.0131953	0.0167178		
		0.341291	0.117613	0.0163409	0.018078		
		0.341428	0.117624	0.0136429	0.0153493		
		0.341552	0.117633	0.0162466	0.0191807		
		0.341664	0.117644	0.0128637	0.0190941		
		0.341763	0.117654	0.0138229	0.01574		
		0.341851	0.117661	0.0182818	0.0170275		
		0.341924	0.11767	0.0186052	0.0192012		
		0.341985	0.117678	0.0137488	0.0179719		
		0.342033	0.117685	0.0151425	0.0177778		
		0.342069	0.117692	0.0155857	0.0167138		
		0.342092	0.117699	0.013281	0.0169583		
		0.342103	0.117706	0.0159901	0.0194479		
		0.342099	0.117714	0.0155717	0.0181258		
		0.342085	0.117723	0.0148395	0.017763		
		0.342061	0.11773	0.0140679	0.0190495		
		0.342026	0.117738	0.0153523	0.0165406		
		0.341978	0.117748	0.0142272	0.0198992		
		0.341919	0.117758	0.0150977	0.0187889		
		0.341848	0.117768	0.0141838	0.0172098		
		0.341765	0.117777	0.0159391	0.0172727		
		0.34167	0.117788	0.0155515	0.0178812		
		0.341564	0.117798	0.0158621	0.0171553		
		0.341446	0.117808	0.0186631	0.0163652		
		0.341318	0.117818	0.0140547	0.0189173		
		0.34118	0.117828	0.014752	0.0175274		
		0.34103	0.117835	0.0128159	0.0195541		
		0.34087	0.117844	0.0147169	0.0176424		
		0.3407	0.117851	0.014065	0.0181796		
		0.340522	0.117856	0.0149895	0.0198091		
		0.340334	0.117859	0.0156744	0.0174339		
		0.340137	0.117862	0.0155002	0.0183321		
		0.339932	0.117864	0.0155166	0.0186275		
		0.339718	0.117864	0.0152428	0.019222		
		0.339497	0.117867	0.0156991	0.0187629		
		0.339268	0.117868	0.0138705	0.0167403		
		0.339032	0.117869	0.0155364	0.0174847		
		0.338788	0.11787	0.0166996	0.0171535		
		0.338537	0.117871	0.0160583	0.0182664		
		0.338279	0.117873	0.0141358	0.0166947		
		0.338013	0.117875	0.0145195	0.0162566		
		0.337743	0.117875	0.0145118	0.0180196		
		0.337467	0.117874	0.0151316	0.0172484		
		0.337188	0.117876	0.0144447	0.0182972		
		0.336905	0.117879	0.0140859	0.0161172		
		0.336619	0.117881	0.0176083	0.0180483		
		0.336328	0.117883	0.0139389	0.0185577		
		0.336035	0.117886	0.0153745	0.0174152		
		0.335736	0.117887	0.0145627	0.0194582		
		0.335435	0.117889	0.0153799	0.017928		
		0.335131	0.117891	0.0133614	0.0179602		
		0.334823	0.11789	0.015613	0.0189974		
		0.33451	0.117889	0.0148517	0.0172252		
		0.334194	0.117888	0.0156873	0.0173063		
		0.333875	0.117889	0.0156289	0.0185355		
		0.333555	0.11789	0.0149829	0.0179215		
		0.333232	0.117891	0.0157201	0.0199881		
		0.332906	0.117893	0.0175454	0.0174416		
		0.332578	0.117895	0.0150858	0.0200861		
		0.332246	0.117898	0.0162051	0.017264		
		0.33191	0.117903	0.0159196	0.0194261		
		0.331569	0.117907	0.0130694	0.0200852		
		0.331225	0.117912	0.0154278	0.0167302		
		0.330878	0.117915	0.0158291	0.0192744		
		0.330529	0.11792	0.0167593	0.018381		
		0.330177	0.117924	0.0152138	0.0189788		
		0.329824	0.117928	0.0160074	0.0148554		
		0.329469	0.11793	0.0163542	0.0186227		
		0.329111	0.117933	0.0153653	0.017071		
		0.328749	0.117936	0.0127753	0.0179795		
		0.328389	0.117937	0.0164733	0.0158473		
		0.328029	0.117938	0.0138669	0.0164539		
		0.327669	0.11794	0.0146664	0.0166226		
		0.32731	0.117942	0.0142565	0.0202368		
		0.326949	0.117944	0.0133166	0.0148688		
		0.326587	0.117946	0.0148085	0.0170081		
		0.326224	0.117948	0.0177903	0.0193119		
		0.32586	0.117949	0.015306	0.0169796		
		0.325495	0.117949	0.0144411	0.0160783		
		0.325128	0.117951	0.0176501	0.0186014		
		0.32476	0.117954	0.0181481	0.0168178		
		0.32439	0.117957	0.0140568	0.0185112		
		0.324019	0.11796	0.0152484	0.0181001		
		0.323648	0.117963	0.0118381	0.0169116		
		0.323278	0.117968	0.0169956	0.0157387		
		0.322906	0.117972	0.0146096	0.019253		
		0.322533	0.117977	0.0142509	0.0186975		
		0.322159	0.117981	0.0146269	0.0173212		
		0.321784	0.117986	0.011432	0.0185256		
		0.321415	0.117991	0.0134743	0.0171951		
		0.321049	0.117996	0.0147397	0.0178365		
		0.320685	0.118001	0.0140374	0.0184277		
		0.320326	0.118005	0.0126038	0.0181737		
		0.31997	0.118009	0.0148527	0.0179079		
		0.319619	0.118012	0.0153243	0.0192351		
		0.31927	0.118014	0.0139067	0.0164408		
		0.318923	0.118015	0.0152159	0.0185344		
		0.31858	0.118015	0.0153913	0.01881		
		0.318241	0.118016	0.0177987	0.0178005		
		0.317904	0.118016	0.0152574	0.0185205		
		0.317569	0.118019	0.0176113	0.0182574		
		0.317238	0.118021	0.0151799	0.0190987		
		0.316909	0.118025	0.0135115	0.0165571		
		0.316583	0.118027	0.0149663	0.0170216		
		0.31626	0.11803	0.017113	0.0177022		
		0.31594	0.118033	0.0134946	0.0203966		
		0.315624	0.118038	0.0136077	0.0180188		
		0.315311	0.118044	0.0132865	0.0156122		
		0.315003	0.118049	0.0148013	0.0192829		
		0.314701	0.118052	0.0155238	0.015596		
		0.314403	0.118056	0.016455	0.0179274		
		0.314111	0.11806	0.0149221	0.0184281		
		0.313824	0.118065	0.0148983	0.018967		
