sub1	tbasej	rp25b	rp610	rp56	jlap1_5	cur1_5
					0.253656	0.0146284
					0.246598	0.0146239
					0.236349	0.0121689
					0.244864	0.0125968
					0.246851	0.0159252
					0.240322	0.0149673
					0.249089	0.0142407
					0.247383	0.0142582
					0.249343	0.0134004
					0.247147	0.0144059
					0.246663	0.014546
					0.236146	0.0120408
					0.250703	0.0147454
					0.245174	0.0139974
					0.237772	0.0143112
					0.250139	0.0130517
					0.253768	0.0137726
					0.24422	0.0145022
					0.241797	0.0151096
					0.242365	0.0139822
					0.233944	0.0138341
					0.239354	0.0143294
					0.235433	0.0154159
					0.238919	0.0147132
					0.240304	0.0154797
					0.231291	0.0154511
					0.23384	0.0134393
					0.233628	0.0121002
					0.243114	0.0131279
					0.232414	0.0152373
					0.250618	0.0137934
					0.231788	0.0162252
					0.244804	0.0143132
					0.250076	0.0126727
					0.250625	0.0143859
					0.238014	0.0148305
					0.236884	0.0141718
					0.236863	0.015661
					0.239781	0.0120192
					0.237864	0.0144835
					0.241032	0.0159611
					0.23009	0.015551
					0.238717	0.0146415
					0.245213	0.0146514
					0.247434	0.0138014
					0.227075	0.0146974
					0.241797	0.0117755
					0.242304	0.0154337
					0.240476	0.0138534
					0.233367	0.0148798
					0.243853	0.0137671
					0.245152	0.0136243
					0.238889	0.0135262
					0.235579	0.0126895
					0.232115	0.0144534
					0.234451	0.0157099
					0.222414	0.0133647
					0.237632	0.0133492
					0.229038	0.0137991
					0.226474	0.0136094
					0.232969	0.0133892
					0.232921	0.0123788
					0.239113	0.0147303
					0.228434	0.0154029
					0.236303	0.013438
					0.239364	0.0119877
					0.233808	0.0140423
					0.239026	0.0151685
					0.237352	0.0145351
					0.229322	0.0155495
					0.231093	0.012234
					0.235573	0.0156782
					0.24667	0.0142249
					0.238386	0.0134252
					0.230989	0.0129829
					0.231684	0.0126692
					0.24039	0.0141098
					0.235277	0.0137845
					0.230559	0.014468
					0.232576	0.0123738
					0.239733	0.0123583
					0.23202	0.0110884
					0.23834	0.0147375
					0.237446	0.0132727
					0.23724	0.0159495
					0.241564	0.0147399
					0.234698	0.0137735
					0.234446	0.0120668
					0.240526	0.0152756
					0.231881	0.0142637
					0.238693	0.0140263
					0.235267	0.0127595
					0.233359	0.013799
					0.225888	0.0144025
					0.232646	0.0118961
					0.224389	0.0165762
					0.233254	0.0128097
					0.235513	0.0156633
					0.226484	0.0127066
					0.235936	0.0133299
					0.243533	0.015471
					0.2411	0.0126652
					0.231487	0.0140767
					0.237234	0.0147394
					0.236245	0.0144324
					0.235355	0.0148236
					0.227427	0.0133883
					0.239812	0.0131816
					0.232797	0.0156893
					0.231787	0.0123998
					0.238457	0.0148609
					0.227932	0.0150944
					0.235053	0.0144723
					0.23202	0.0138407
					0.232647	0.0156088
					0.227541	0.0167028
					0.23102	0.0141064
					0.241759	0.0148673
					0.238935	0.0165826
					0.245768	0.0143363
					0.241426	0.0121428
					0.230076	0.013834
					0.233594	0.0168743
					0.234187	0.0155052
					0.225647	0.0169742
					0.23509	0.0160449
					0.241416	0.0158451
					0.230394	0.012447
					0.245978	0.0131965
					0.234	0.0133123
					0.235914	0.0153518
					0.241411	0.0127259
					0.238049	0.0133977
					0.238997	0.0144313
					0.230201	0.0128531
					0.240196	0.014587
					0.232156	0.0159768
					0.235837	0.0165602
					0.235576	0.0157681
					0.234732	0.0145873
					0.229664	0.0151825
					0.242184	0.0146789
					0.230091	0.0137884
					0.24943	0.0146592
					0.235697	0.0145453
					0.235193	0.015173
					0.235304	0.0117348
					0.22935	0.0145474
					0.239192	0.0122136
					0.2306	0.0123414
					0.242186	0.0135043
					0.235257	0.0146589
					0.225959	0.0105753
					0.220475	0.0141138
					0.219127	0.0162713
					0.217543	0.0132507
					0.216018	0.0130449
					0.216138	0.0125846
					0.223334	0.0126358
					0.218357	0.0107384
					0.21228	0.0154533
					0.222087	0.0140323
					0.233457	0.0159706
					0.220003	0.0128392
					0.215086	0.0136059
					0.224584	0.0135266
					0.212275	0.0134915
					0.223359	0.0123855
					0.228851	0.0139666
					0.218872	0.014808
					0.207835	0.0141693
					0.213368	0.0140997
					0.21375	0.0138627
					0.210872	0.0143319
					0.222705	0.0154487
					0.213191	0.0157444
					0.211944	0.0149465
					0.216065	0.0135468
					0.215251	0.0143643
					0.219038	0.0151789
					0.219289	0.0152203
					0.219227	0.0147247
					0.211621	0.0138385
					0.229022	0.0137033
					0.219229	0.0129774
					0.218219	0.0141233
					0.217254	0.0134123
					0.217486	0.014512
					0.217196	0.0179992
					0.222574	0.0152155
					0.216477	0.0135344
					0.213814	0.0124362
					0.219915	0.0165294
					0.222642	0.0153066
					0.21749	0.0156366
					0.218931	0.0143507
					0.216105	0.0154117
					0.222934	0.0157951
					0.226045	0.0176016
					0.22369	0.0139481
					0.215102	0.013969
					0.222444	0.0139872
					0.205438	0.0150035
					0.220688	0.014065
					0.202361	0.0129157
					0.214034	0.0159471
					0.215808	0.0135922
					0.222512	0.0151645
					0.215452	0.0159015
					0.220084	0.0154546
					0.223624	0.0154916
					0.220646	0.0140516
					0.22196	0.0155106
					0.217191	0.0145764
					0.21312	0.0158881
					0.226361	0.0167973
					0.202975	0.015518
					0.224063	0.0131344
					0.221515	0.0146214
					0.217041	0.0146433
					0.215816	0.0134807
					0.223621	0.0149603
					0.225924	0.014431
					0.217806	0.0123192
					0.21604	0.0143901
					0.207411	0.0147945
					0.222691	0.0154039
					0.218902	0.0143613
					0.209006	0.015199
					0.212868	0.015784
					0.216493	0.0158645
					0.218087	0.0155082
					0.226754	0.0141951
					0.227226	0.0150601
					0.22135	0.0134647
					0.218971	0.0146618
					0.223354	0.0140515
					0.220086	0.0139221
					0.211993	0.0124357
					0.218946	0.0141309
					0.221319	0.0120907
					0.225801	0.011669
					0.211923	0.0150375
					0.221858	0.0137356
					0.214587	0.0139574
					0.214052	0.0128795
					0.21241	0.0153233
					0.220299	0.0154515
					0.222137	0.0157057
					0.221324	0.0128782
					0.216226	0.0120136
					0.21652	0.0146917
					0.232154	0.0140808
					0.216811	0.014649
					0.216945	0.0161455
					0.217757	0.014599
					0.221637	0.0140606
					0.216284	0.0137245
					0.206937	0.012901
					0.214291	0.0135572
					0.220135	0.0148092
					0.221187	0.0140379
					0.224411	0.013192
					0.220642	0.0142441
					0.228771	0.0133189
					0.215628	0.0147327
					0.221715	0.0163179
					0.21497	0.0169133
					0.21322	0.0145112
					0.217371	0.0115387
					0.22228	0.0133186
					0.223235	0.0142552
					0.224735	0.01305
