sub2	tbasej2	rp2837	rp4150b	cur2_38	cur2_39	lap2_38	lap2_39
				0.0146867	0.0169648	0.204721	0.368928
				0.0145592	0.0159016	0.20475	0.369309
				0.0162866	0.0168334	0.204777	0.36968
				0.0139791	0.0200747	0.204803	0.370041
				0.0139003	0.018788	0.204827	0.370393
				0.0124187	0.0151523	0.20485	0.370737
				0.0146138	0.0171277	0.204868	0.371073
				0.0143093	0.0170778	0.204883	0.371402
				0.0150421	0.0188685	0.204898	0.371723
				0.0151062	0.0169056	0.204914	0.372036
				0.0160563	0.0164214	0.204929	0.372342
				0.0150355	0.0179136	0.204943	0.372639
				0.0148496	0.0173103	0.204957	0.372928
				0.0172956	0.0174928	0.204969	0.373209
				0.0167228	0.0191831	0.204981	0.373482
				0.0150558	0.0176629	0.204992	0.373748
				0.0182943	0.0170635	0.205002	0.374003
				0.0114533	0.0187018	0.205013	0.374251
				0.0142963	0.0171455	0.205024	0.374489
				0.0141411	0.0191541	0.205033	0.374717
				0.0172158	0.017493	0.205042	0.374937
				0.0138666	0.0194803	0.20505	0.375147
				0.0160646	0.0168363	0.205056	0.375347
				0.0157408	0.0163068	0.205064	0.375539
				0.015916	0.0181714	0.20507	0.375725
				0.0149865	0.0176327	0.205076	0.375903
				0.0142107	0.0174734	0.205081	0.376074
				0.0133798	0.0173654	0.205086	0.376239
				0.0171377	0.0177029	0.20509	0.376399
				0.0180263	0.0177111	0.205093	0.376552
				0.01335	0.0187541	0.205095	0.376698
				0.0138558	0.0206116	0.205096	0.376837
				0.0141743	0.0174973	0.205098	0.376969
				0.0169143	0.0179864	0.205101	0.377094
				0.0165786	0.0168198	0.205102	0.377216
				0.0154435	0.019276	0.205102	0.377331
				0.0146959	0.0156596	0.205103	0.37744
				0.0152006	0.0154422	0.205105	0.377543
				0.0165666	0.0181564	0.205107	0.377641
				0.0166484	0.0183838	0.20511	0.377732
				0.0136047	0.0166929	0.205111	0.377816
				0.0169969	0.0169906	0.205114	0.377896
				0.0135993	0.0166283	0.205116	0.37797
				0.0143122	0.016812	0.205119	0.378039
				0.0165026	0.0165641	0.205122	0.378101
				0.0147027	0.0193834	0.205125	0.378157
				0.0162412	0.0167077	0.205129	0.378207
				0.014771	0.0158488	0.205133	0.378252
				0.0160552	0.0173613	0.205137	0.378292
				0.0174823	0.0189183	0.205142	0.378327
				0.0154926	0.0195271	0.205149	0.378358
				0.0150713	0.0190593	0.205156	0.378388
				0.0160737	0.0178581	0.205163	0.378413
				0.0167166	0.0178252	0.20517	0.378434
				0.0159419	0.0175727	0.205177	0.378451
				0.0147816	0.0159725	0.205183	0.378463
				0.0140542	0.0196021	0.205187	0.378474
				0.0153798	0.0185913	0.20519	0.37848
				0.0132478	0.0177311	0.205194	0.37848
				0.0163764	0.0177653	0.205196	0.37848
				0.0128611	0.0167324	0.205199	0.378477
				0.0156219	0.0175109	0.205203	0.378474
				0.0169591	0.0181493	0.205206	0.378467
				0.0130619	0.0183233	0.205209	0.378456
				0.0174307	0.0166625	0.205211	0.37844
				0.01493	0.0205112	0.205212	0.37842
				0.0147314	0.0171841	0.205214	0.378398
				0.0145365	0.0166486	0.205215	0.378375
				0.0157497	0.0190421	0.205216	0.378349
				0.0179972	0.0190772	0.205216	0.378322
				0.0149298	0.0179456	0.205215	0.378292
				0.0135667	0.0169491	0.205214	0.37826
				0.0136432	0.0171351	0.205214	0.378227
				0.0152047	0.0178401	0.205214	0.378193
				0.0180234	0.0177525	0.205214	0.378157
				0.0178733	0.0187678	0.205213	0.37812
				0.0151064	0.0175974	0.205211	0.378082
				0.015721	0.0185571	0.205209	0.378042
				0.0155866	0.014508	0.205207	0.377999
				0.0156838	0.0182227	0.205205	0.377954
				0.0133198	0.0178021	0.205203	0.377909
				0.0137058	0.0168906	0.2052	0.377867
				0.0159038	0.0182947	0.205197	0.377825
				0.0146809	0.0169678	0.205194	0.377784
				0.0149732	0.0186977	0.205191	0.377744
				0.015434	0.0191241	0.20519	0.377709
				0.0152802	0.018342	0.205188	0.377673
				0.0132701	0.0182213	0.205187	0.37764
				0.0144769	0.0172979	0.205185	0.377609
				0.0171912	0.0188975	0.205184	0.377579
				0.0156418	0.016898	0.205181	0.377552
				0.0163301	0.0163173	0.20518	0.377528
				0.0138788	0.0175571	0.205178	0.377505
				0.0166227	0.0189112	0.205176	0.377482
				0.0161055	0.0189757	0.205175	0.377462
				0.0172892	0.0181739	0.205176	0.377442
				0.0168162	0.017344	0.205176	0.377423
				0.013783	0.0179002	0.205178	0.377406
				0.0136472	0.0176316	0.20518	0.377389
				0.016174	0.0188572	0.205181	0.377374
				0.0151704	0.0168757	0.205183	0.377362
				0.0133771	0.0149954	0.205185	0.37735
				0.0139233	0.0166801	0.205187	0.377342
				0.0160477	0.0172441	0.205189	0.377337
				0.0132705	0.0176489	0.20519	0.377334
				0.0150736	0.0178966	0.205191	0.377334
				0.0163062	0.0191481	0.205191	0.377335
				0.0141942	0.0176808	0.205192	0.377336
				0.0136795	0.0178863	0.205193	0.377338
				0.0148087	0.0195061	0.205195	0.37734
				0.0159784	0.0194046	0.205196	0.377344
				0.014123	0.0161531	0.205196	0.377347
				0.0140197	0.0188495	0.205196	0.377354
				0.0151661	0.017848	0.205197	0.37736
				0.0164403	0.019251	0.205197	0.377366
				0.0158786	0.0195198	0.205197	0.377373
				0.0167845	0.0178173	0.205197	0.377382
				0.0147731	0.0173604	0.205196	0.377393
				0.0151298	0.0182085	0.205195	0.377404
				0.0167236	0.0189604	0.205193	0.377417
				0.0150097	0.0166328	0.205192	0.377432
				0.0126491	0.017115	0.205192	0.37745
				0.0174955	0.0180584	0.205192	0.377469
				0.0141807	0.0199543	0.205191	0.37749
				0.0124985	0.0189215	0.205189	0.377512
				0.0172548	0.0181313	0.205187	0.377534
				0.0163495	0.0168416	0.205184	0.377556
				0.0151853	0.0163678	0.205181	0.377579
				0.0168637	0.0179243	0.205178	0.377602
				0.0166081	0.0168718	0.205174	0.377624
				0.0144625	0.0167845	0.205171	0.37765
				0.0153704	0.0168791	0.205168	0.377679
				0.0165056	0.019657	0.205165	0.37771
				0.0141723	0.0185857	0.20516	0.377744
				0.0135969	0.0169887	0.205155	0.377778
				0.0132908	0.0173535	0.20515	0.377812
				0.0169561	0.0167092	0.205146	0.377847
				0.0134778	0.0179608	0.205141	0.377883
				0.0154923	0.0185445	0.205135	0.377921
				0.0153788	0.0171862	0.205129	0.377962
				0.0147015	0.0167626	0.205122	0.378006
				0.0176541	0.0150409	0.205114	0.378051
				0.0139645	0.0172342	0.205107	0.378097
				0.0148221	0.0168364	0.2051	0.378143
