jlap1_34	jlap1_35	cur1_34	cur1_35
0.294399	0.158688	0.0121439	0.0147734
0.289784	0.152284	0.014035	0.0141679
0.279296	0.15757	0.0129614	0.0149307
0.282574	0.15966	0.0113239	0.0171999
0.292179	0.165049	0.0112068	0.0135533
0.284923	0.15208	0.0106013	0.0140085
0.282764	0.162807	0.0112602	0.0136384
0.289229	0.157876	0.0116841	0.0141696
0.293314	0.156913	0.0136567	0.0163017
0.287781	0.157278	0.012515	0.0135131
0.29322	0.154629	0.0123875	0.0159048
0.290155	0.170082	0.0132154	0.0146367
0.291749	0.166166	0.0128432	0.0146334
0.30144	0.156049	0.0136331	0.0155545
0.299642	0.155276	0.0137303	0.0141316
0.302165	0.159752	0.0124749	0.0155239
0.295751	0.157087	0.0116883	0.0143275
0.285829	0.157683	0.0131334	0.012811
0.292925	0.162234	0.012527	0.0121437
0.286336	0.148194	0.0109867	0.013698
0.276322	0.159792	0.0108368	0.0126448
0.293389	0.162982	0.012259	0.0136672
0.291463	0.16281	0.0119719	0.0159075
0.293015	0.150588	0.0133702	0.0124573
0.283505	0.160208	0.00879572	0.0129769
0.288727	0.161642	0.010766	0.013759
0.290943	0.15699	0.0104389	0.014628
0.284672	0.15724	0.0112826	0.0131035
0.289736	0.162623	0.0138281	0.0149008
0.296688	0.167926	0.0113919	0.0139011
0.282976	0.15097	0.0145815	0.0157367
0.289186	0.157673	0.0129439	0.0151311
0.292097	0.161669	0.00853897	0.0166271
0.28892	0.15005	0.0112113	0.0112708
0.284909	0.163831	0.0116949	0.0150102
0.293043	0.159386	0.0115196	0.0154904
0.287753	0.161064	0.0131496	0.0137387
0.283373	0.165872	0.0116035	0.0159214
0.280243	0.166447	0.0128827	0.0129188
0.29183	0.165642	0.00985904	0.0147406
0.293826	0.16174	0.0111526	0.0141008
0.286625	0.157386	0.0117242	0.0147891
0.283185	0.16072	0.0106396	0.0144947
0.281533	0.153764	0.010692	0.0125781
0.291235	0.169208	0.0144133	0.0137636
0.299825	0.160648	0.0125363	0.01463
0.292131	0.162179	0.0142579	0.0154432
0.291896	0.151903	0.0115354	0.0144434
0.298338	0.164342	0.0114079	0.0159156
0.293958	0.157494	0.0120839	0.016022
0.288036	0.159784	0.0109385	0.0154181
0.30358	0.170084	0.0121255	0.0151993
0.273419	0.157005	0.0114502	0.0129906
0.277094	0.163614	0.0113057	0.0144106
0.282657	0.164624	0.0121472	0.0139445
0.284599	0.164825	0.0109951	0.017507
0.277748	0.15556	0.0122837	0.0145688
0.288021	0.163347	0.0141859	0.0132565
0.276266	0.163436	0.0139562	0.0131772
0.276925	0.157224	0.012558	0.0150648
0.281941	0.157606	0.0122754	0.0131049
0.280497	0.162022	0.0120536	0.014825
0.284974	0.168874	0.0150527	0.0135881
0.285096	0.160065	0.0125711	0.0167449
0.279544	0.150431	0.0130245	0.0142432
0.28002	0.168189	0.0130194	0.0172663
0.285314	0.153188	0.010177	0.0162586
0.285876	0.170489	0.0107122	0.0149438
0.274609	0.162409	0.0112513	0.0159225
0.288247	0.160616	0.0144893	0.0153154
0.275976	0.160889	0.0134371	0.0138644
0.284963	0.150844	0.0129335	0.012629
0.281965	0.150266	0.0124512	0.0139802
0.283518	0.157679	0.0119643	0.0129025
0.266589	0.156407	0.013246	0.0133179
0.281605	0.155696	0.0120571	0.015181
0.279484	0.154596	0.0137348	0.0130898
0.289098	0.158487	0.0121827	0.01277
0.290637	0.161309	0.0135427	0.0142394
0.287737	0.160993	0.0139729	0.0133183
0.274827	0.155005	0.0112083	0.0136329
0.273746	0.158253	0.0131735	0.0130993
0.279681	0.156269	0.0121872	0.0142711
0.278586	0.153197	0.0123178	0.0129745
0.284798	0.160637	0.0115108	0.0130473
0.281765	0.161909	0.0115488	0.0140902
0.275475	0.155335	0.0110871	0.0127089
0.281878	0.159952	0.0127917	0.0168674
0.275107	0.165972	0.0104636	0.0128382
0.271635	0.156546	0.0111071	0.0133297
0.273055	0.162721	0.0127403	0.0125305
0.279724	0.158468	0.0138893	0.0138548
0.275133	0.160215	0.0110877	0.0118191
0.279641	0.154021	0.0120011	0.0129823
0.286828	0.162083	0.0110223	0.0120117
0.282228	0.167844	0.0119475	0.0132265
0.269638	0.164224	0.0148557	0.0139571
0.290349	0.161073	0.0153236	0.0123413
0.286349	0.158234	0.0126804	0.0143242
0.275636	0.151177	0.0130556	0.0133446
0.284974	0.159264	0.00981647	0.0154533
0.285249	0.162287	0.0143721	0.0157499
0.284673	0.162893	0.012834	0.012507
0.286043	0.157235	0.00893469	0.0133444
0.286264	0.160456	0.0127815	0.0145212
0.285405	0.151846	0.0119278	0.0139613
0.290409	0.152785	0.0126882	0.0128926
0.286444	0.15556	0.011065	0.0177573
0.266792	0.160672	0.0120977	0.013963
0.271509	0.15575	0.0118147	0.0139688
0.28351	0.156752	0.0142438	0.0147045
0.283554	0.15463	0.0136162	0.0128207
0.279022	0.157079	0.0123798	0.0161377
0.285749	0.160059	0.0127072	0.0152338
0.282528	0.166012	0.0141045	0.0135667
0.274673	0.154604	0.013024	0.012445
0.275859	0.15135	0.0120199	0.0155654
0.287598	0.150305	0.0129331	0.013729
0.27876	0.153594	0.0112407	0.011913
0.287219	0.164719	0.0140818	0.0148075
0.279666	0.161222	0.0123657	0.014907
0.288059	0.155735	0.0116027	0.0135621
0.272047	0.157259	0.0126983	0.0130796
0.281339	0.158501	0.0109976	0.0158206
0.272236	0.156864	0.0137883	0.0132343
0.287816	0.169654	0.0148039	0.0155556
0.277371	0.155688	0.012443	0.0141429
0.293389	0.172863	0.0130248	0.013964
0.278554	0.158224	0.012915	0.0158048
0.29543	0.165507	0.0150441	0.0130194
0.278192	0.16524	0.0149683	0.0134167
0.284774	0.162871	0.0140675	0.016131
0.289315	0.161711	0.0126969	0.016532
0.280167	0.158074	0.0111532	0.0162015
0.275537	0.156353	0.0133899	0.0144355
0.287016	0.151509	0.0127363	0.0151691
0.281068	0.165268	0.0121224	0.0152788
0.283802	0.158099	0.0120198	0.0157607
0.292855	0.163978	0.0118194	0.0166214
0.280764	0.165919	0.0120396	0.0154563
0.277834	0.152865	0.0128098	0.0148871
0.279676	0.1665	0.0140714	0.0134269
0.285929	0.161072	0.0144877	0.0138557
0.276049	0.155052	0.0120414	0.0158735
0.28426	0.15871	0.0148897	0.0155977
0.280496	0.164221	0.0113302	0.0145074
0.274497	0.164427	0.0142328	0.0143234
0.281619	0.163187	0.0125487	0.0151477
0.291063	0.160474	0.0128797	0.0142007
0.278413	0.156902	0.0123541	0.0142198
0.285804	0.160291	0.0133654	0.013858
0.285276	0.161558	0.0146571	0.0155038
0.281819	0.157575	0.00899279	0.0129906
0.289424	0.158491	0.0122228	0.0133709
0.280806	0.156158	0.014394	0.0139551
