jlap1_35	jlap1_36	jlap1_42	jlap1_44	cur1_35	cur1_36	cur1_42	cur1_44
0.0253579	0.0239822	0.0476209	0.652619	-0.170706	-0.168083	-0.166912	-0.168435
0.0167541	0.0233672	0.0552681	0.653751	-0.166673	-0.165927	-0.168048	-0.167465
0.0210919	0.00856569	0.0399948	0.651619	-0.170609	-0.169267	-0.169076	-0.167346
0.022514	0.0295628	0.0429772	0.664482	-0.171389	-0.167948	-0.167292	-0.168535
0.00399524	0.0196751	0.0565262	0.6686	-0.170314	-0.167339	-0.169815	-0.165245
0.022379	0.00915724	0.063715	0.666518	-0.169408	-0.167168	-0.171221	-0.166714
0.0181378	0.0251179	0.0546142	0.658616	-0.16828	-0.168339	-0.171119	-0.168741
0.0211307	0.02757	0.0656282	0.671885	-0.171244	-0.16783	-0.169692	-0.16594
0.0297414	0.0274355	0.054833	0.663567	-0.168695	-0.167971	-0.166463	-0.168812
0.030164	0.0284944	0.0569384	0.683194	-0.169637	-0.165985	-0.16883	-0.167063
0.0219357	0.00940628	0.0558715	0.686938	-0.172228	-0.168827	-0.168821	-0.167038
0.0145051	0.030211	0.0615558	0.697568	-0.171576	-0.1683	-0.170154	-0.169321
0.0229903	0.0181147	0.0535224	0.688006	-0.168756	-0.16868	-0.170168	-0.169255
0.028126	0.012477	0.0555049	0.696535	-0.169672	-0.167927	-0.169711	-0.168028
0.0284211	0.020433	0.0647862	0.703246	-0.171358	-0.169554	-0.169671	-0.167483
0.0105587	0.0248608	0.0662524	0.711197	-0.169194	-0.168908	-0.167081	-0.168188
0.0237146	0.0204171	0.0643242	0.692465	-0.171422	-0.168688	-0.169762	-0.167762
0.020875	0.0231563	0.0530995	0.688406	-0.168284	-0.168321	-0.168339	-0.167414
0.0281254	0.0207581	0.057301	0.720092	-0.170551	-0.169172	-0.169082	-0.167619
0.0218984	0.0279827	0.0659576	0.721727	-0.168201	-0.168503	-0.169865	-0.166248
0.0146494	0.0237625	0.0662899	0.719899	-0.16641	-0.16661	-0.169642	-0.168266
0.0121664	0.0151191	0.059241	0.727169	-0.166866	-0.168679	-0.168502	-0.166078
0.0352748	0.0360776	0.0624655	0.720364	-0.169336	-0.167632	-0.170829	-0.169217
0.0120298	0.0337376	0.0603662	0.715931	-0.170088	-0.166605	-0.16908	-0.167036
0.01739	0.0125476	0.0668399	0.724891	-0.171856	-0.168152	-0.166683	-0.168441
0.0399794	0.0281012	0.0585922	0.742722	-0.171398	-0.166529	-0.16698	-0.166538
0.0177884	0.0184295	0.059757	0.745191	-0.169463	-0.16817	-0.169359	-0.169511
0.0168147	0.0273053	0.0609718	0.751155	-0.169395	-0.170419	-0.170112	-0.168086
0.0267545	0.0252978	0.0663351	0.74669	-0.169784	-0.169542	-0.167947	-0.169677
0.0268207	0.022024	0.0680202	0.74535	-0.166435	-0.167624	-0.168669	-0.168378
0.0175521	0.0232552	0.065176	0.740184	-0.169366	-0.167321	-0.169461	-0.168553
0.0163183	0.0287464	0.0688597	0.752909	-0.16955	-0.169043	-0.169157	-0.170307
0.0192351	0.018744	0.0645598	0.746217	-0.170058	-0.167954	-0.168495	-0.168199
0.0138233	0.02568	0.0608837	0.759483	-0.169593	-0.168613	-0.169338	-0.166752
0.0281134	0.0269283	0.0715711	0.744258	-0.17106	-0.167481	-0.168785	-0.16564
0.0228694	0.0210827	0.0686099	0.748625	-0.169845	-0.167617	-0.16663	-0.165265
0.0259448	0.0197727	0.069698	0.749784	-0.16746	-0.164869	-0.166775	-0.169255
0.0269654	0.0285766	0.0666793	0.761296	-0.167501	-0.165147	-0.166935	-0.168669
0.0169796	0.0202177	0.070845	0.76891	-0.170056	-0.16754	-0.169172	-0.169954
0.0219185	0.0238391	0.0657199	0.771821	-0.170359	-0.167536	-0.168909	-0.165549
0.00980859	0.0230295	0.0733947	0.78755	-0.17026	-0.167328	-0.169768	-0.1679
0.0264806	0.0278235	0.0713366	0.773825	-0.168343	-0.166638	-0.170194	-0.168611
0.0208444	0.0191827	0.0681959	0.785251	-0.168978	-0.167129	-0.170123	-0.167523
0.0229759	0.0134029	0.0689938	0.779519	-0.171498	-0.169126	-0.16887	-0.16804
0.0158393	0.0262646	0.0724113	0.775258	-0.169004	-0.167512	-0.169674	-0.167232
0.0136278	0.0203366	0.0668839	0.781733	-0.170799	-0.169241	-0.170552	-0.167721
0.0257555	0.0238501	0.0783084	0.786487	-0.172386	-0.170114	-0.167275	-0.167499
0.0164714	0.0115488	0.0742327	0.776694	-0.171538	-0.166842	-0.170828	-0.165284
0.0235051	0.0312688	0.0777604	0.793825	-0.171701	-0.167615	-0.168986	-0.165579
