sub2	tbasej2	rp2033	rp3664b	rp3435	jlap1_34	jlap1_35	cur1_34	cur1_35	rp6778	rp6566	jlap1_65	jlap1_66	cur1_65	cur1_66
					0.319932	0.170113	0.0121281	0.0130804			0.293296	0.273361	0.0120617	0.0142083
					0.310234	0.164899	0.0139748	0.016543			0.292036	0.276567	0.0133255	0.0146676
					0.323272	0.161122	0.0135217	0.0142884			0.29212	0.277242	0.0123823	0.013285
					0.309109	0.166597	0.0137027	0.0142345			0.291327	0.279761	0.0112365	0.0155264
					0.316992	0.162248	0.0111675	0.0152869			0.287984	0.268618	0.0118675	0.0151429
					0.306224	0.159475	0.0113385	0.0137881			0.290044	0.279062	0.0131388	0.0147518
					0.312981	0.176887	0.0118109	0.0168986			0.296629	0.277157	0.0129435	0.0138266
					0.318992	0.176351	0.00909522	0.0138527			0.290612	0.278682	0.0126237	0.0143014
					0.313441	0.161945	0.01159	0.0169756			0.305301	0.271181	0.0107357	0.0147904
					0.330664	0.176195	0.0133616	0.0146996			0.304269	0.264936	0.00991129	0.0136056
