sub2e	tbasej22	rp610	rp1220	rp1112	jlap1_11	cur1_11
					0.175149	0.0164821
					0.169358	0.0127812
					0.172102	0.0139676
					0.172222	0.0160722
					0.169772	0.0141661
					0.171131	0.0144541
					0.167251	0.0126455
					0.171068	0.0143002
					0.168325	0.0139922
					0.170205	0.013789
					0.170426	0.0144867
					0.172314	0.0137674
					0.18657	0.0133912
					0.187783	0.011764
					0.186345	0.014599
					0.184406	0.0148216
					0.185452	0.0152092
					0.186353	0.0145794
					0.187367	0.0165947
					0.186828	0.0114314
					0.187536	0.0127182
					0.18479	0.0134627
					0.190994	0.014505
					0.191876	0.0129022
					0.191008	0.0154216
					0.194444	0.0142329
					0.192907	0.0156804
					0.194014	0.0138908
					0.191757	0.0126986
					0.191785	0.0140049
					0.194683	0.0135392
					0.19211	0.0146237
					0.187071	0.0146301
					0.191641	0.0165852
					0.192319	0.0157062
					0.194804	0.0142803
					0.194707	0.0164172
					0.190626	0.0160353
					0.188955	0.0157919
					0.193301	0.0124655
					0.195521	0.0171327
					0.192491	0.0109484
					0.188873	0.0137572
					0.184255	0.0132945
					0.194294	0.015479
					0.199562	0.0146537
					0.203476	0.0133582
					0.195712	0.0132827
					0.199748	0.0121951
					0.19188	0.0147973
					0.184221	0.0143555
					0.187661	0.0161033
					0.189856	0.013176
					0.18844	0.0135188
					0.194643	0.0138933
					0.192912	0.0142812
					0.202451	0.0138643
					0.194783	0.0133472
					0.197384	0.0127153
					0.213079	0.0149582
					0.201778	0.0146422
					0.207724	0.0146042
					0.202139	0.0139993
					0.205209	0.0137324
					0.203424	0.0146075
					0.19725	0.0140284
					0.200732	0.0148156
					0.198533	0.0132326
					0.209784	0.0149766
					0.198633	0.0137159
					0.197068	0.0134583
					0.199998	0.0117218
					0.201011	0.0125375
					0.209349	0.0128466
					0.202808	0.0152769
					0.197769	0.0145355
					0.197734	0.0128585
					0.198163	0.0149886
					0.203026	0.0118847
					0.194581	0.0163044
					0.212678	0.0138688
					0.20249	0.0130454
					0.205769	0.0125893
					0.194202	0.0158193
					0.194176	0.0135619
					0.199615	0.0121755
					0.19091	0.0140436
					0.205886	0.0151759
					0.21218	0.0151043
					0.218904	0.0132414
					0.196193	0.0148096
					0.205401	0.013829
					0.205983	0.0157953
					0.212135	0.013749
					0.203134	0.0116302
					0.195212	0.0127001
					0.203657	0.0134895
					0.200041	0.0137436
					0.202907	0.0135677
					0.197117	0.0136932
					0.212248	0.0148316
					0.209708	0.0132261
					0.197614	0.0121256
					0.195828	0.0136791
					0.201172	0.0143834
					0.206631	0.0142463
					0.200324	0.0123891
					0.19368	0.011474
					0.204803	0.0127334
					0.210137	0.0150113
					0.195663	0.0141249
					0.204229	0.0159036
					0.20101	0.0154301
					0.19648	0.0183478
					0.211057	0.0156476
					0.199241	0.0155189
					0.207747	0.0142622
					0.193306	0.0151681
					0.193487	0.0155159
					0.197771	0.0132216
					0.19225	0.014454
					0.189721	0.0146456
					0.201321	0.0132301
					0.183984	0.0134374
					0.193813	0.0163874
					0.190094	0.016145
					0.18513	0.0122966
					0.19844	0.0169793
					0.196037	0.0161605
					0.192671	0.0156552
					0.194621	0.0149189
					0.192423	0.0143056
					0.193089	0.0151193
					0.200929	0.0151234
					0.193809	0.0151336
					0.189264	0.0149021
					0.187749	0.0157271
					0.186232	0.0159643
					0.192764	0.0146864
					0.197192	0.0154258
					0.195813	0.0139307
					0.191408	0.0152118
					0.192537	0.01493
					0.189423	0.0143727
					0.184216	0.0135432
					0.189737	0.016078
					0.196095	0.0167075
					0.196653	0.0164315
					0.197141	0.0145149
					0.196863	0.013459
					0.196954	0.0137555
					0.190897	0.0153671
					0.195717	0.0162874
					0.188872	0.0163457
					0.193856	0.0149827
					0.201738	0.0156475
					0.177636	0.0113537
					0.192054	0.0142717
					0.190458	0.0119297
					0.196904	0.0140143
					0.196788	0.0134403
					0.19336	0.0157331
					0.191264	0.0161827
					0.190164	0.015663
					0.201607	0.0142119
					0.202147	0.0101739
					0.19551	0.0161818
					0.191174	0.0147008
					0.195669	0.0136986
					0.197885	0.0136021
					0.201873	0.0148485
					0.192715	0.0143535
					0.188059	0.0129628
					0.189525	0.0114723
					0.18668	0.0155181
					0.196619	0.01506
					0.195974	0.0132296
					0.185255	0.0123867
					0.193072	0.0132944
					0.192401	0.0145898
					0.19028	0.0137144
					0.183202	0.0150522
