sub3	tbasej3	rp3444	rp6275b	lap2_61	lap2_62	cur2_61	cur2_62
				0.380882	0.327449	0.00400886	0.00774056
				0.381264	0.327633	0.006676	0.0041415
				0.381634	0.327804	0.00608373	0.00322145
				0.381993	0.327964	0.00259537	0.00360599
				0.38234	0.328113	0.00242187	0.00319603
				0.382675	0.328253	0.00343676	0.00495015
				0.382998	0.328384	0.00619044	0.00239004
				0.383308	0.328507	0.00420947	0.00412998
				0.383606	0.328621	0.00501296	0.00335429
				0.383894	0.328725	0.00726886	0.00541036
				0.38417	0.328821	0.00662008	0.00592212
				0.384434	0.328907	0.00541527	0.00736044
				0.384685	0.328984	0.0037389	0.00547479
				0.384925	0.329051	0.00379202	0.00677154
				0.385154	0.32911	0.00439667	0.00602893
				0.385373	0.329161	0.00380421	0.00524833
				0.385581	0.329203	0.00506049	0.00478596
				0.385779	0.329237	0.00350775	0.00390044
				0.385966	0.329261	0.0054815	0.00332059
				0.386143	0.329278	0.00403735	0.00267747
				0.386308	0.329287	0.00657437	0.00332993
				0.386462	0.32929	0.00471138	0.00404055
				0.386606	0.329288	0.00430596	0.00450624
				0.38674	0.32928	0.00206279	0.00309457
				0.386864	0.329266	0.00377172	0.00513821
				0.386977	0.329245	0.00337923	0.00395175
				0.387082	0.329218	0.00335025	0.00330889
				0.387177	0.329185	0.00430356	0.00595004
				0.387264	0.329144	0.0072799	0.00276826
				0.387343	0.329098	0.004586	0.00497542
				0.387411	0.329048	0.00439124	0.00346202
				0.387471	0.328992	0.0054901	0.00626728
				0.387522	0.32893	0.00507362	0.00722533
				0.387566	0.328862	0.0039414	0.00249621
				0.387604	0.328789	0.00458101	0.00456775
				0.387637	0.32871	0.00604017	0.00638267
				0.387663	0.328627	0.00543816	0.00299603
				0.387682	0.32854	0.00416504	0.00547543
				0.387696	0.328449	0.005569	0.00644575
				0.387706	0.328354	0.00510217	0.00759242
				0.387708	0.328253	0.00521766	0.0028863
				0.387705	0.328147	0.00370522	0.00454667
				0.387697	0.328036	0.00674385	0.00455106
				0.387683	0.327919	0.00535012	0.00587184
				0.387665	0.327797	0.00448035	0.00272898
				0.38764	0.32767	0.00670411	0.00466548
				0.387609	0.327538	0.00543587	0.00605784
				0.387576	0.327402	0.00435216	0.00364921
				0.387539	0.327262	0.00469499	0.00387681
				0.387498	0.327119	0.00556234	0.00508686
				0.387453	0.326974	0.00459075	0.00723041
				0.387404	0.326825	0.00560048	0.00594696
				0.387352	0.326674	0.00546491	0.00601123
				0.387298	0.326518	0.00642613	0.00453047
				0.387238	0.326359	0.00459338	0.00416447
				0.387175	0.326197	0.00494006	0.0057826
				0.387107	0.326032	0.00340667	0.00715821
				0.387036	0.325863	0.00631262	0.00620346
				0.386961	0.325691	0.00348304	0.0063755
				0.386883	0.325518	0.00626486	0.00460804
				0.386801	0.325343	0.0062028	0.00599203
				0.386717	0.325165	0.00497288	0.00378759
				0.386629	0.324985	0.00461387	0.00342349
				0.386539	0.324802	0.00617225	0.00712166
				0.386446	0.324618	0.0047303	0.00390658
				0.386351	0.324433	0.0056227	0.00444431
				0.386255	0.324245	0.0030804	0.0047604
				0.386157	0.324054	0.00478374	0.00430835
				0.386054	0.323861	0.00495105	0.00498866
				0.385951	0.323666	0.00573141	0.00113161
				0.385846	0.323468	0.00634618	0.00671038
				0.385738	0.323268	0.00630264	0.00683621
				0.385629	0.323066	0.00500254	0.0067996
				0.385519	0.322863	0.0048987	0.00755907
				0.385407	0.322658	0.0042809	0.00775587
				0.385294	0.322452	0.0049589	0.00535326
				0.385181	0.322243	0.00553087	0.00314402
				0.385067	0.322035	0.00552752	0.0044698
				0.384954	0.321829	0.00532943	0.00444716
				0.38484	0.321625	0.00643599	0.0043718
				0.384727	0.321423	0.00463451	0.00527385
				0.384614	0.321224	0.00482195	0.00547306
				0.384501	0.321026	0.00546952	0.00420099
				0.384389	0.32083	0.00463947	0.00422893
				0.384276	0.320636	0.00292131	0.00689996
				0.384164	0.320444	0.00807907	0.00333116
				0.384052	0.320253	0.00591549	0.00433436
				0.38394	0.320065	0.00462014	0.00476077
				0.383829	0.319879	0.006234	0.0074568
				0.383718	0.319697	0.00618326	0.00642211
				0.383608	0.319517	0.00557875	0.00393852
				0.383499	0.319339	0.00698577	0.00538234
				0.383388	0.319163	0.00498264	0.00583339
				0.383275	0.31899	0.00486586	0.00476979
				0.383164	0.318821	0.00479217	0.00335302
				0.383055	0.318655	0.00539682	0.00671358
				0.382948	0.31849	0.000695293	0.00315585
				0.382844	0.318329	0.00387447	0.00640903
				0.38274	0.318168	0.00397441	0.00542184
				0.382637	0.31801	0.00363482	0.00278413
				0.382535	0.317855	0.00437938	0.00509643
				0.382436	0.317702	0.00386198	0.00652953
				0.382338	0.317551	0.00469019	0.00414251
				0.382239	0.317403	0.0053699	0.00536018
				0.382142	0.317259	0.00428131	0.00306811
				0.382046	0.317117	0.00513385	0.00426272
				0.38195	0.316978	0.00481368	0.00202048
				0.381855	0.316841	0.00265381	0.00253878
				0.381762	0.316705	0.00453248	0.00444182
				0.381669	0.316572	0.00632981	0.00363359
				0.381578	0.316441	0.00107123	0.00529817
				0.381489	0.316313	0.00372678	0.00254774
				0.381403	0.316187	0.00472753	0.0061102
				0.381318	0.316064	0.00316344	0.00610674
				0.381235	0.315944	0.00683318	0.0051486
				0.381152	0.315825	0.0038129	0.00620906
				0.381069	0.315709	0.00550844	0.00669773
				0.380987	0.315594	0.00355477	0.00575017
				0.380908	0.315483	0.0039456	0.00458421
				0.380832	0.315373	0.00634436	0.00372236
				0.380756	0.315266	0.00557947	0.00625557
				0.380683	0.315162	0.00505004	0.00540603
				0.380614	0.31506	0.00347716	0.00504393
				0.380546	0.31496	0.00178744	0.00696394
				0.380482	0.31486	0.00291212	0.0050341
				0.380421	0.314762	0.00481525	0.00550059
				0.380363	0.314664	0.00324762	0.00454697
				0.380307	0.314569	0.00468778	0.00475595
				0.380253	0.314475	0.00295585	0.0036727
				0.3802	0.314381	0.00413815	0.00349596
				0.380147	0.314288	0.00192422	0.00471015
				0.380096	0.314196	0.00318606	0.00510044
				0.380045	0.314105	0.00461778	0.00282016
				0.379997	0.314017	0.00419689	0.00426484
				0.37995	0.313932	0.00434786	0.00635395
				0.379902	0.313848	0.00416432	0.00437388
				0.379855	0.313766	0.0048727	0.0078494
				0.379809	0.313684	0.00456907	0.00351048
				0.379761	0.313604	0.00330504	0.00382078
				0.379713	0.313525	0.00583825	0.00705653
				0.379665	0.313446	0.0049056	0.0067097
				0.379618	0.313368	0.00429029	0.00658845
				0.379573	0.313292	0.00492421	0.00514268
				0.379527	0.313217	0.00485687	0.00522451
				0.379483	0.313144	0.00615078	0.00492518
				0.379439	0.313072	0.00546821	0.00618856
				0.379397	0.313003	0.00643837	0.00440831
				0.379355	0.312935	0.0035032	0.00511324
				0.379313	0.312868	0.00427013	0.00678978
				0.379273	0.312802	0.00477685	0.00255417
				0.379233	0.312738	0.00558657	0.00462437
				0.379194	0.312674	0.00571707	0.00472397
				0.379154	0.312611	0.00773703	0.00798082
				0.379115	0.312547	0.00579382	0.00489265
				0.379074	0.312486	0.00448877	0.00549166
				0.379035	0.312424	0.00476862	0.0044338
				0.378995	0.312363	0.00509819	0.0052247
				0.378955	0.312303	0.00355722	0.00519192
				0.378917	0.312244	0.00501822	0.00639451
				0.378879	0.312186	0.00630969	0.00553445
				0.378842	0.312127	0.00542483	0.0068207
				0.378806	0.312068	0.00606014	0.00519735
				0.378771	0.312012	0.00336534	0.00624078
				0.378737	0.311956	0.00323873	0.00349968
				0.378704	0.311902	0.0053142	0.00540695
				0.378673	0.31185	0.00381061	0.00517978
				0.378642	0.311797	0.00430004	0.00232739
				0.37861	0.311746	0.00424917	0.00475625
				0.378579	0.311696	0.00541318	0.00750566
				0.378549	0.311647	0.00529486	0.00430934
				0.37852	0.311599	0.00429321	0.00392014
				0.378492	0.311552	0.00611279	0.00473197
				0.378465	0.311506	0.00413753	0.00694602
				0.378439	0.311462	0.00321566	0.00560584
				0.378415	0.311418	0.00526829	0.00388837
				0.378391	0.311374	0.00319169	0.00505499
				0.378369	0.311332	0.00533559	0.00566357
				0.378348	0.31129	0.00430836	0.00537639
				0.378328	0.311249	0.0032847	0.00609897
				0.378308	0.311206	0.00390089	0.00689589
				0.378287	0.311161	0.00299706	0.00656215
				0.378266	0.311115	0.00631998	0.00632985
				0.378246	0.311067	0.00658833	0.00427032
				0.378224	0.311019	0.00600556	0.00458702
				0.378203	0.310971	0.00573897	0.00704723
				0.378182	0.310922	0.00425015	0.00426196
				0.378161	0.310874	0.0054357	0.00267901
