t,initial_ramp,delta_ramp
-2.024,0.0,0.9334840702157445
-1.984,0.0,0.9358310437365027
-1.944,0.0,0.9754732555704353
-1.903,0.0,1.0666428698234576
-1.865,0.0,1.188179378486418
-1.83,0.0,1.3678957923471542
-1.792,0.0,1.5750746743347293
-1.745,0.0,1.7775031280777798
-1.706,0.0,2.0161790679274008
-1.668,0.0,2.308867211111444
-1.632,0.0,2.6498421702484127
-1.597,0.0,3.037848878322942
-1.56,0.0,3.463177668777333
-1.52,0.0,3.853556861323912
-1.48,0.0,4.16588716534483
-1.438,0.0,4.464538123174181
-1.394,0.0,4.7552418760345905
-1.352,0.0,5.0312093359888195
-1.277,0.0,5.286428884860998
-1.158,0.0,5.517173432098653
-1.054,0.0,5.729200657335657
-0.955,0.0,5.937742515459224
-0.866,0.0,6.178524296433395
-0.806,0.0,6.4464240721770985
-0.76,0.0,6.720193696237244
-0.716,0.0,7.0137207410231195
-0.675,0.0,7.305278478845933
-0.64,0.0,7.6325404762306945
-0.605,0.0,8.02760248015354
-0.57,0.0,8.458232829941046
-0.532,0.0,8.886249361487298
-0.493,0.0,9.282655255570328
-0.454,0.0,9.613608014641915
-0.415,0.0,9.856071626933511
-0.38,0.0,10.09644248996064
-0.344,0.0,10.286896553380055
-0.294,0.0,10.472355928992998
-0.249,0.0,10.64002423236011
-0.209,0.0,10.779620724677859
-0.168,0.0,10.877679260146966
-0.129,0.0,10.91673504962065
-0.09,0.0,10.927390113366972
-0.055,0.0,10.95110027681908
-0.02,0.0,10.990093310490213
0.015,0.0,10.966007746580441
0.049,0.0,10.952892316701394
0.083,0.0,10.880226187247326
0.119,0.0,10.756338338277075
0.161,0.0,10.57460918659352
0.211,0.0,10.29037911107865
0.274,0.0,9.879479746907357
0.334,0.0,9.301296660277748
0.395,0.0,8.601214652105151
0.473,0.0,7.8146379267047035
0.597,0.0,6.997104568090789
0.896,0.0,6.111378334125451
1.021,0.0,5.332139906698197
1.139,0.0,4.616474845403666
1.341,0.0,3.9750655032984117
-2.496,0.0,0.21941134684536934
-2.431,0.0,0.24561533507681332
-2.377,0.0,0.29288470415167467
-2.334,0.0,0.3796549885583431
-2.288,0.0,0.5079118698921192
-2.245,0.0,0.6651206636155464
-2.209,0.0,0.8368829388688894
-2.169,0.0,1.0158028146452907
-2.127,0.0,1.1995548577966417
-2.083,0.0,1.3924261556063797
-2.04,0.0,1.5971707453415789
-2.003,0.0,1.8111162504085954
-1.968,0.0,2.023710300751837
-1.921,0.0,2.21955175220657
-1.876,0.0,2.3933649918273474
-1.833,0.0,2.55504482183715
-1.789,0.0,2.7096576037920457
-1.747,0.0,2.861678591042782
-1.708,0.0,3.016771726054216
-1.672,0.0,3.176070418437341
-1.638,0.0,3.343959859431145
-1.606,0.0,3.5299781006864563
-1.574,0.0,3.7399156292905644
-1.545,0.0,3.974006672115017
-1.512,0.0,4.2286579960770965
-1.478,0.0,4.501001637790061
-1.443,0.0,4.794069241582143
-1.408,0.0,5.109982906178423
-1.377,0.0,5.4441879731937775
-1.347,0.0,5.789453909774352
-1.307,0.0,6.135881696632801
-1.269,0.0,6.471326580581795
-1.235,0.0,6.786196015037497
-1.2,0.0,7.078010791108106
-1.167,0.0,7.350155315462466
-1.135,0.0,7.613654236678549
-1.105,0.0,7.8752612978096295
-1.075,0.0,8.126032726381055
-1.046,0.0,8.35120471068965
-1.018,0.0,8.540540408630143
-0.99,0.0,8.702108175874343
-0.955,0.0,8.850336355017852
-0.915,0.0,8.995145835240152
-0.865,0.0,9.132279539064918
-0.802,0.0,9.247735145472255
-0.749,0.0,9.32469823798614
-0.699,0.0,9.358380617848844
-0.63,0.0,9.298636158875318
-0.563,0.0,9.400523082706634
-0.5,0.0,9.267644364171169
-0.423,0.0,9.096964370709259
-0.362,0.0,8.899189117358489
-0.304,0.0,8.684553059823351
-0.236,0.0,8.48747368747945
-0.179,0.0,8.313568980058726
-0.129,0.0,8.129231712977983
-0.077,0.0,7.896062213141434
-0.027,0.0,7.598665253350667
0.021,0.0,7.260366855181331
0.06,0.0,6.904618179143419
0.101,0.0,6.5390219385419215
0.144,0.0,6.152794936253592
0.186,0.0,5.755397682249026
0.228,0.0,5.3372672147759985
0.273,0.0,4.881376433474927
0.321,0.0,4.398011510297415
0.37,0.0,3.9198548904870307
0.416,0.0,3.4579760411898803
0.462,0.0,3.1155618535468648
0.506,0.0,2.58832857469757
0.553,0.0,2.238104220333412
0.597,0.0,1.9398236384439045
0.643,0.0,1.6889776757109942
0.688,0.0,1.4852721510297258
0.733,0.0,1.2931542366786317
0.783,0.0,1.1000154658384957
0.838,0.0,0.9233842464857531
0.895,0.0,0.786770712651176
0.989,0.0,0.6952728702190072
1.115,0.0,0.6150222981366298
1.165,0.0,0.5214702222948517
1.217,0.0,0.4144285093167568
1.278,0.0,0.3092646322327468
1.353,0.0,0.2070630630924981
1.439,0.0,0.11506852239293153
1.512,0.0,0.05277198757763557
1.597,0.0,0.02111680614578404
1.681,0.0,0.0033558058188916107
1.752,0.0,0.0005510657077394399
1.835,0.0,0.006182056227522992
1.912,0.0,-0.0015062732919304267
1.981,0.0,-0.017867371690101663
2.049,0.0,-0.02667230794377673
2.107,0.0,-0.021805292579266222
2.165,0.0,-0.0032108499509675426
2.237,0.0,0.039856361556054765
2.306,0.0,0.09510860084994732
2.366,0.0,0.1461619843085984
2.421,0.0,0.18311003922850233
2.481,0.0,0.20319349787511953
-4.049,0.0,0.5520987914351023
-3.949,0.0,0.49637743151355984
-3.825,0.0,0.40058101111473743
-3.725,0.0,0.30717607159201954
-3.627,0.0,0.25037906603464855
-3.533,0.0,0.15161588525661784
-3.443,0.0,0.09830012520431364
-3.352,0.0,0.04212645080091448
-3.254,0.0,0.024671079764628345
-3.154,0.0,0.05441947793396462
-3.025,0.0,0.12382854298790313
-1.415,0.0,0.2688383664596241
-1.207,0.0,0.48558793167701175
-1.118,0.0,0.7568001709708962
-1.054,0.0,1.0851590366132582
-1.001,0.0,1.4620543684210343
-0.963,0.0,1.8852507888198513
-0.914,0.0,2.358986460608012
-0.865,0.0,2.8593368855834864
-0.817,0.0,3.3301824593003815
-0.769,0.0,3.788768712978049
-0.722,0.0,4.190930873814919
-0.679,0.0,4.56022428669494
-0.637,0.0,4.904155891794641
-0.593,0.0,5.213422720823731
-0.539,0.0,5.452167022883225
-0.49,0.0,5.7003783468453015
-0.442,0.0,5.876095463550103
-0.395,0.0,6.014124911081975
-0.35,0.0,6.0992854373977625
-0.308,0.0,6.13796687904536
-0.268,0.0,6.169293456358206
-0.228,0.0,6.222948889506295
-0.189,0.0,6.297938729323228
-0.151,0.0,6.335363214449085
-0.109,0.0,6.374147071918845
-0.064,0.0,6.397654325923421
-0.017,0.0,6.37563887316108
0.031,0.0,6.314698964694264
0.074,0.0,6.213076450800836
0.12,0.0,6.0927718970250915
0.17,0.0,5.971654845701131
0.222,0.0,5.822824437070864
0.274,0.0,5.631796470415097
0.329,0.0,5.387338974501402
0.376,0.0,5.083373744033931
0.42,0.0,4.744926320039166
0.463,0.0,4.384092462569409
0.506,0.0,4.018837787839111
0.547,0.0,3.7052558133376454
0.587,0.0,3.445130716900902
0.627,0.0,3.223414682249061
0.667,0.0,3.038062943118627
0.712,0.0,2.8594860519777328
0.758,0.0,2.696440334422979
0.807,0.0,2.6225982389669484
0.86,0.0,2.5886588470087926
0.915,0.0,2.5648760912062434
0.967,0.0,2.5771094779339316
1.031,0.0,2.5918505926773125
1.121,0.0,2.6316536132722774
1.177,0.0,2.603729576005197
1.237,0.0,2.5199154112454725
1.305,0.0,2.3630323481529603
1.367,0.0,2.1001741755475383
1.432,0.0,1.7944392785223693
1.524,0.0,1.514676476953234
1.598,0.0,1.26345917718207
1.66,0.0,1.0673602592350306
1.72,0.0,0.870877421706429
1.778,0.0,0.6170289516181686
1.833,0.0,0.31195317195161465
1.885,0.0,0.09222242987904394
1.935,0.0,-0.03998735763321282
1.984,0.0,-0.06377775645635708
2.029,0.0,-0.017844598561620906
2.073,0.0,0.011851030728996292
2.124,0.0,-0.005963797646289848
2.181,0.0,-0.0033241147433802354
2.241,0.0,0.004282132396207672
2.299,0.0,0.047966931350114095
2.353,0.0,0.07956959561948285
2.406,0.0,0.12160566623079294
2.46,0.0,0.11175392056227462
2.537,0.0,0.07813479339653462
2.602,0.0,0.09745135109512759
2.671,0.0,0.16461118110493445
2.752,0.0,0.24218376364824845
2.873,0.0,0.32038134782608196
2.981,0.0,0.3512055158548506
3.068,0.0,0.3409767417456653
3.154,0.0,0.3427227338999632
3.249,0.0,0.43402521510296843
3.349,0.0,0.5295499192546522
3.456,0.0,0.6174439826740681
3.592,0.0,0.6492705894082951
3.741,0.0,0.609768578947361
3.893,0.0,0.5645734792415755
4.019,0.0,0.5789951627982921
4.136,0.0,0.5650760454396799
-3.196,0.0,0.2836176053219971
-3.126,0.0,0.4188794764236625
-3.066,0.0,0.4404955720431458
-3.01,0.0,0.44492481405033757
-2.957,0.0,0.4778130778947307
-2.905,0.0,0.4682031693952212
-2.852,0.0,0.45414161257926844
-2.8,0.0,0.43883879973193285
-2.748,0.0,0.4331339714547182
-2.699,0.0,0.43619126628963145
-2.653,0.0,0.41568401323961535
-2.604,0.0,0.48163523537103003
-2.029,0.0,0.6239883630271249
-1.959,0.0,0.7995460856488945
-1.845,0.0,0.9967797030075057
-1.733,0.0,1.2298025181431678
-1.664,0.0,1.4343492064399945
-1.612,0.0,1.596018344949309
-1.561,0.0,1.865768029486736
-1.507,0.0,2.129994555475618
-1.458,0.0,2.3862915352075524
-1.415,0.0,2.631215338084307
-1.369,0.0,2.852053122654425
-1.321,0.0,3.1325100353709954
-1.272,0.0,3.402425526054222
-1.227,0.0,3.6580585172278046
-1.181,0.0,3.9574359444916127
-1.139,0.0,4.225738177247412
-1.102,0.0,4.487462358352345
-1.063,0.0,4.774066702909386
-1.026,0.0,5.088821073618764
-0.99,0.0,5.466473175612875
-0.956,0.0,5.844093652893027
-0.922,0.0,6.187658566263405
-0.886,0.0,6.471954764367356
-0.851,0.0,6.704162024910016
-0.816,0.0,6.906375208957086
-0.781,0.0,7.085083852304583
-0.745,0.0,7.252728726446457
-0.708,0.0,7.4037462844719535
-0.669,0.0,7.546366686564139
-0.629,0.0,7.652497474403301
-0.59,0.0,7.731783025236905
-0.548,0.0,7.803321521477505
