lap2_7_samp	cur2_7_samp	lap2_8_samp	cur2_8_samp	lap2_9_samp	cur2_9_samp	lap2_10_samp	cur2_10_samp	lap2_11_samp	cur2_11_samp	sub	ind_delta_vm	ind_t
0.17442	0.000867068	0.123306	0.00528455	0.186002	0.00495009	0.248866	0.0013197	0.29067	0.00127181			
0.175381	0.000778655	0.123954	0.00534762	0.186935	0.0048607	0.250578	0.00126206	0.292294	0.00123567			
0.176341	0.000669572	0.124602	0.00532328	0.187867	0.00471126	0.252291	0.00136905	0.293918	0.00154759			
0.177302	0.000900285	0.12525	0.00534786	0.1888	0.00495739	0.254003	0.00123294	0.295542	0.00138018			
0.178263	0.000622325	0.125898	0.00527522	0.189733	0.00488975	0.255629	0.00122222	0.297166	0.00155714			
0.179223	0.000858776	0.126546	0.00522927	0.190665	0.00497977	0.257123	0.00113491	0.29879	0.00134514			
0.180184	0.000610396	0.127194	0.00544215	0.191598	0.00483811	0.258617	0.00135066	0.300414	0.00140864			
0.181145	0.000734257	0.127842	0.0053753	0.19253	0.00502893	0.260112	0.00143116	0.302037	0.00137493			
0.182106	0.000804885	0.12849	0.00526076	0.193463	0.00479766	0.261606	0.00130452	0.303661	0.00140602			
0.183066	0.000910893	0.129138	0.00523017	0.194396	0.00494253	0.2631	0.00135877	0.305285	0.00151579			
0.184027	0.000799594	0.129797	0.00505901	0.195329	0.00477587	0.264594	0.00132666	0.306871	0.00150745			
0.184988	0.0008564	0.130635	0.00529827	0.196261	0.00489651	0.266088	0.00125903	0.308094	0.00133582			
0.185948	0.000979943	0.131493	0.00543625	0.197194	0.00492273	0.267582	0.00136475	0.309295	0.00138351			
0.186909	0.000670195	0.132351	0.00519192	0.198127	0.00459885	0.269077	0.00145265	0.310495	0.00156399			
0.18787	0.000873886	0.133209	0.00530979	0.199059	0.00481483	0.270571	0.00137839	0.311695	0.00157813			
0.18883	0.000850329	0.134067	0.0052498	0.199992	0.0048335	0.272065	0.00139444	0.312896	0.00124724			
0.189791	0.000713475	0.134925	0.00527596	0.200925	0.00493138	0.273559	0.00135538	0.314096	0.00160113			
0.190752	0.000695862	0.135784	0.00515594	0.201857	0.00481142	0.275054	0.00151592	0.315296	0.0015262			
0.191713	0.00101931	0.136642	0.00515165	0.20279	0.00496349	0.276548	0.00160576	0.316496	0.00132892			
0.192674	0.000697964	0.1375	0.00535435	0.203723	0.00493363	0.278042	0.00133412	0.317697	0.00141402			
0.193634	0.000881067	0.138358	0.00526018	0.204655	0.00482643	0.279536	0.00149846	0.318897	0.00155884			
0.194595	0.000760369	0.139216	0.00520032	0.205588	0.00485925	0.28103	0.0013744	0.320097	0.00129519			
0.195556	0.000804975	0.140074	0.00537599	0.206521	0.00476522	0.282524	0.0013806	0.321297	0.00170068			
0.196517	0.000623954	0.140932	0.005048	0.207453	0.00496416	0.284018	0.001377	0.322498	0.00143957			
0.197477	0.000830785	0.14179	0.00511411	0.208386	0.00498563	0.285513	0.00149295	0.323698	0.00142896			
0.198438	0.000856176	0.142649	0.00533972	0.209319	0.0049847	0.287007	0.0014592	0.324898	0.00117263			
0.199399	0.000811181	0.143507	0.00517515	0.210252	0.00489074	0.288501	0.00159274	0.326098	0.0016643			
0.20036	0.000934877	0.144365	0.00519206	0.211184	0.00497776	0.289995	0.00159803	0.327299	0.00132926			
0.20132	0.000907548	0.145223	0.00513407	0.212117	0.00487936	0.291489	0.00128165	0.328499	0.0012979			
0.202281	0.000971498	0.146081	0.00519713	0.21305	0.00492939	0.292868	0.001427	0.329699	0.00157435			
0.203242	0.000928992	0.14694	0.005204	0.213983	0.00495549	0.29415	0.00140746	0.3309	0.00159359			
0.204203	0.000727296	0.147798	0.00529559	0.214915	0.0049554	0.295433	0.001374	0.3321	0.00144353			
0.205163	0.000915631	0.148656	0.00525202	0.215848	0.00483672	0.296715	0.00171281	0.3333	0.00148402			
0.206124	0.000854219	0.149514	0.00531187	0.216781	0.00477834	0.297997	0.00151082	0.3345	0.00155366			
0.207085	0.000811793	0.150372	0.0052099	0.217713	0.00477208	0.299279	0.00130951	0.3357	0.00140246			
