lap4_13_samp	cur4_13_samp	lap4_14_samp	cur4_14_samp	lap4_15_samp	cur4_15_samp	lap4_16_samp	cur4_16_samp	sub2	ind_t	ind_delta_vm
0.407792	0.00360262	0.183875	0.00366868	0.251566	0.00362252	0.306275	0.0034524			
0.409021	0.00361219	0.184198	0.00372203	0.253079	0.0035906	0.306948	0.00363745			
0.41025	0.0037961	0.184521	0.00352764	0.254592	0.00361201	0.307622	0.0037561			
0.411479	0.00376365	0.184844	0.00352003	0.256082	0.00370173	0.308296	0.00364662			
0.412707	0.00343926	0.185167	0.00386665	0.257541	0.00363163	0.308969	0.0035173			
0.413936	0.00371627	0.18549	0.00346217	0.259	0.00353899	0.309643	0.00355276			
0.415164	0.00365959	0.185813	0.00369905	0.260459	0.00362934	0.310316	0.00361259			
0.416224	0.00372648	0.186136	0.00358831	0.261918	0.00370969	0.31099	0.00352298			
0.417225	0.0037753	0.186459	0.0037133	0.263378	0.00348333	0.311664	0.00373466			
0.418226	0.00357603	0.186782	0.00346406	0.264837	0.00344868	0.312337	0.00364922			
0.419227	0.00353685	0.187104	0.00356176	0.266296	0.0036072	0.313011	0.0035017			
0.420228	0.00353484	0.187427	0.0034781	0.267755	0.00363185	0.313684	0.00362156			
0.421229	0.00343101	0.18775	0.00356239	0.269214	0.00368499	0.314358	0.00379025			
0.42223	0.00364154	0.188065	0.0036902	0.270673	0.00368507	0.315032	0.00369168			
0.423231	0.00378449	0.18811	0.00368921	0.272133	0.00373756	0.315705	0.00363625			
0.424232	0.00363969	0.188107	0.00353057	0.273592	0.00364341	0.316379	0.00368337			
0.425233	0.00376275	0.188104	0.0037225	0.275051	0.00374021	0.317052	0.00364707			
0.426234	0.00369367	0.188102	0.00357804	0.27651	0.00367129	0.317726	0.00360494			
0.427235	0.00362839	0.188099	0.00362258	0.277969	0.00359957	0.318399	0.00376393			
0.428236	0.00365578	0.188096	0.00370913	0.279429	0.00358758	0.319073	0.00362018			
0.429237	0.00374003	0.188093	0.00376851	0.280888	0.00358808	0.319747	0.00367884			
0.430237	0.00360117	0.188091	0.00363446	0.282347	0.00374995	0.32042	0.00358037			
0.431238	0.00378355	0.188088	0.00346362	0.283806	0.00351835	0.321109	0.0036123			
0.432239	0.00360745	0.188085	0.00354854	0.285265	0.00341919	0.321812	0.00364753			
0.43324	0.0037227	0.188083	0.00376646	0.286725	0.003637	0.322514	0.00365431			
0.434241	0.00358511	0.18808	0.00362366	0.288184	0.00380135	0.323217	0.00373427			
0.435242	0.00356918	0.188077	0.0036129	0.289614	0.00369338	0.323919	0.00379054			
0.436243	0.00351916	0.188074	0.00375541	0.290997	0.00347991	0.324621	0.00372998			
0.437244	0.00348108	0.188071	0.0034942	0.29238	0.00366624	0.325323	0.00369697			
0.438245	0.00364725	0.188068	0.00360952	0.293762	0.00368582	0.326026	0.00365794			
