cur3_37_samp	cur3_38_samp	cur3_39_samp	cur3_40_samp	lap3_37_samp	lap3_38_samp	lap3_39_samp	lap3_40_samp	rp11
-0.000180221	-0.000302448	-0.000201569	-0.000185142	0.498035	0.483874	0.521157	0.36833	
-0.000279438	-0.000218756	-0.00010525	-0.000194969	0.500635	0.486856	0.523862	0.370062	
-0.000225059	0.00013046	-0.000230552	-0.000152729	0.503235	0.489838	0.526568	0.371794	
-0.000245506	-3.29243e-05	-0.000558664	-0.000236663	0.505835	0.49282	0.529273	0.373526	
4.40809e-05	-0.000280066	2.11609e-06	1.68487e-05	0.508438	0.495802	0.531978	0.375255	
-8.32357e-05	-7.31638e-05	-8.64146e-05	-1.89151e-05	0.511064	0.498784	0.534683	0.376979	
-0.000126201	-0.000153261	5.74853e-05	-5.93578e-05	0.513691	0.501766	0.537389	0.378703	
-0.000127856	-0.000215447	-0.000204557	-0.00029614	0.516317	0.504749	0.540094	0.380427	
-5.40423e-05	-8.45825e-06	-2.94572e-05	-0.000176352	0.518943	0.507731	0.542799	0.382151	
-0.000114105	-0.000117536	8.89623e-05	-8.5218e-05	0.52157	0.510679	0.545506	0.383876	
-8.75364e-05	-2.47704e-05	2.69155e-05	-0.00023735	0.524196	0.513561	0.548214	0.3856	
-0.000121523	-0.00027913	-0.000346257	-0.000118981	0.526823	0.516443	0.550921	0.387324	
-0.000182304	-6.46432e-05	9.14926e-06	-0.000234632	0.529449	0.519326	0.553628	0.389048	
-0.000101213	5.83503e-05	-6.83077e-05	-0.000289807	0.532076	0.522208	0.556335	0.390772	
-0.000276775	2.97016e-05	-0.000119932	-0.000182141	0.534702	0.52509	0.559042	0.392496	
-0.000265657	-0.00014183	-0.000238338	4.17886e-05	0.537328	0.527972	0.56175	0.394221	
-0.000121374	-0.000351789	-0.000127615	5.60763e-05	0.539959	0.530855	0.564457	0.395945	
-6.40406e-06	-2.26896e-05	-0.00013475	-0.000147909	0.542618	0.533737	0.567164	0.397669	
-0.000128266	-0.000139248	-8.37187e-05	-0.00026546	0.545279	0.536619	0.569871	0.399393	
-0.000247892	-7.07685e-05	-0.000126724	-0.000119295	0.547939	0.539501	0.572578	0.401117	
-5.48308e-05	-0.000236249	-0.000207939	-4.09677e-05	0.5506	0.54238	0.575283	0.402841	
-0.000218752	-0.000182583	-0.000175783	-7.6049e-05	0.55326	0.545185	0.577967	0.404565	
-6.7815e-05	-9.03714e-05	-8.97959e-06	-0.000179145	0.55592	0.547981	0.580649	0.406315	
-8.78029e-05	-2.95642e-05	-6.2643e-05	-8.76184e-06	0.558581	0.550776	0.583331	0.408095	
9.15677e-05	3.14618e-05	-0.000133824	-0.00017213	0.561241	0.553571	0.586013	0.409876	
-0.000269152	-0.000154351	-9.99376e-05	-0.000265577	0.563901	0.556367	0.588695	0.411657	
-0.000135839	-8.20369e-06	-0.000129579	-0.000156573	0.566562	0.559162	0.591377	0.413437	
-0.000115667	5.02615e-06	-5.84065e-05	-0.00039239	0.569222	0.561957	0.594059	0.415218	
-0.000155732	-1.9e-05	-0.000239032	-0.000193847	0.571885	0.564752	0.596741	0.416998	
-6.85656e-05	9.39153e-05	-3.13785e-05	-0.000264498	0.574561	0.567548	0.599423	0.418779	
-8.70379e-05	-0.000160768	-0.000312713	-7.8251e-05	0.577238	0.570343	0.602105	0.420559	
-0.000189037	8.60101e-05	-0.000204762	-0.000287856	0.579914	0.573138	0.604787	0.42234	
-0.000254336	-0.000102349	5.95743e-06	-5.5028e-05	0.58259	0.57592	0.607467	0.42412	
-7.65654e-05	3.72199e-05	-9.0322e-05	-0.000144669	0.585266	0.578637	0.610126	0.425901	
-0.000175652	-0.000117563	-0.000216931	-0.000206746	0.587943	0.581353	0.612784	0.427681	
-0.000221255	-0.000221874	-0.000436413	-0.000130763	0.590619	0.584069	0.615442	0.429462	
-0.00018672	-0.000127222	-0.000208723	-8.58525e-05	0.593295	0.586784	0.6181	0.431242	
-0.000220261	-0.000286821	-0.000158313	9.07846e-07	0.595972	0.589499	0.620757	0.433023	
-0.000113936	-3.00379e-05	0.000101873	-0.000108867	0.598648	0.592215	0.623416	0.434803	
-0.000138486	-0.000333822	-0.000110088	-8.5648e-05	0.601324	0.594931	0.626073	0.436585	
-0.000230466	1.95313e-05	-0.000305966	4.59331e-05	0.603998	0.597646	0.628731	0.438402	
-0.000110208	-0.000244444	-0.000100301	7.96831e-05	0.60666	0.600362	0.631389	0.440223	
-0.000240082	-6.85645e-05	-9.48789e-05	-8.44069e-05	0.609322	0.603077	0.634047	0.442045	
-2.35685e-05	-0.000300821	-0.000112634	-6.06782e-05	0.611984	0.605793	0.636705	0.443866	
-0.000116305	-0.000124263	-0.000302362	-3.82095e-07	0.614646	0.608499	0.639363	0.445687	
-0.000158084	-0.000119808	-0.000163007	-0.000265958	0.617308	0.611175	0.641982	0.447509	
-0.000398581	-0.000236527	-0.000193149	-9.61528e-05	0.61997	0.61385	0.64459	0.44933	
-8.83774e-05	5.18928e-05	-9.86737e-05	-0.000109034	0.622632	0.616525	0.647198	0.451152	
-3.94982e-05	-5.71612e-05	-0.000201118	-0.000246398	0.625294	0.6192	0.649807	0.452973	
-0.000254298	-0.00015599	-0.000132771	-9.45887e-05	0.627956	0.621875	0.652415	0.454794	
-9.06966e-05	-4.48967e-05	-0.000121149	-0.000141206	0.630617	0.624551	0.655023	0.456616	
-0.000380827	-0.000178198	-0.00025157	-9.52549e-05	0.633279	0.627226	0.657631	0.458437	
-0.000202055	-0.000142051	-0.000225142	-2.37443e-05	0.635939	0.629901	0.66024	0.460259	
-0.000278162	1.70983e-05	-4.91438e-05	-0.00021258	0.638564	0.632576	0.662848	0.46208	
-0.000233807	-0.00026388	-0.000153893	-0.000196204	0.641187	0.635251	0.665456	0.463902	
-9.02675e-05	-0.000237677	-0.000165825	5.17498e-05	0.64381	0.637926	0.668064	0.465723	
-5.22778e-05	-0.000103516	-8.86533e-05	-0.000110616	0.646432	0.640615	0.670672	0.467545	
-0.000227358	-0.000179071	-7.22839e-05	-0.000141615	0.649055	0.643323	0.673266	0.469407	
-7.33437e-05	-9.15724e-05	0.000165011	7.17815e-05	0.651677	0.64603	0.675829	0.471278	
-6.16463e-05	-0.000113527	-0.000141891	-0.000122412	0.6543	0.648738	0.678393	0.473148	
