lap2_47_samp	lap2_48_samp	lap2_49_samp	lap2_50_samp	lap2_51_samp	Smth2_47_samp	Smth2_48_samp	Smth2_49_samp	Smth2_50_samp	Smth2_51_samp	rp1111
0.603432	0.412065	0.629942	0.50175	0.627732	-0.061716	-0.057513	-0.0535636	-0.0595005	-0.0622996	
0.606368	0.413368	0.633019	0.503813	0.630885	-0.0617103	-0.0575483	-0.0534866	-0.0594941	-0.0624024	
0.609284	0.414672	0.636021	0.505875	0.634038	-0.0617062	-0.0575759	-0.05341	-0.0594876	-0.0625032	
0.612123	0.415976	0.639023	0.507937	0.637191	-0.061705	-0.0575959	-0.0533341	-0.0594822	-0.0625995	
0.61496	0.417279	0.642025	0.51	0.640344	-0.0617078	-0.0576084	-0.0532585	-0.0594784	-0.0626896	
0.617797	0.418583	0.645027	0.512062	0.643493	-0.0617149	-0.0576118	-0.0531818	-0.0594753	-0.062772	
0.620634	0.419887	0.648029	0.514124	0.646496	-0.0617271	-0.0576058	-0.0531033	-0.0594722	-0.0628452	
0.623471	0.42119	0.651031	0.516187	0.649467	-0.0617456	-0.0575916	-0.0530247	-0.0594689	-0.0629073	
0.626309	0.422494	0.654033	0.518249	0.652438	-0.0617715	-0.057571	-0.0529468	-0.059466	-0.0629571	
0.629146	0.423798	0.657035	0.520311	0.655409	-0.061806	-0.0575453	-0.0528703	-0.059465	-0.0629951	
0.631983	0.425101	0.660037	0.522374	0.65838	-0.0618499	-0.0575158	-0.0527965	-0.0594677	-0.0630218	
0.63482	0.426405	0.663039	0.524436	0.661351	-0.0619031	-0.0574843	-0.0527273	-0.059475	-0.0630379	
0.637657	0.427708	0.666021	0.526498	0.664322	-0.061964	-0.0574517	-0.0526657	-0.0594867	-0.063044	
0.640494	0.429012	0.668849	0.528561	0.667293	-0.0620322	-0.0574192	-0.0526135	-0.0595024	-0.06304	
0.643318	0.430315	0.67167	0.530572	0.670264	-0.0621066	-0.0573887	-0.0525709	-0.0595218	-0.0630262	
0.645953	0.431619	0.674491	0.532333	0.673235	-0.0621861	-0.0573616	-0.0525381	-0.0595442	-0.0630039	
0.64857	0.432923	0.677312	0.534088	0.676206	-0.0622682	-0.0573387	-0.0525142	-0.0595706	-0.0629743	
0.651188	0.434226	0.680133	0.535842	0.679098	-0.0623515	-0.0573201	-0.052498	-0.0596015	-0.0629389	
0.653805	0.43553	0.682954	0.537597	0.681924	-0.0624356	-0.0573059	-0.0524883	-0.0596377	-0.0628999	
0.656423	0.436834	0.685775	0.539352	0.684751	-0.0625191	-0.0572968	-0.052484	-0.0596799	-0.0628585	
0.65904	0.438137	0.688595	0.541106	0.687577	-0.0626016	-0.0572935	-0.0524846	-0.0597294	-0.0628157	
0.661658	0.439441	0.691416	0.542861	0.690403	-0.062682	-0.0572964	-0.0524902	-0.0597869	-0.0627726	
0.664275	0.440744	0.694237	0.544615	0.693229	-0.0627591	-0.0573047	-0.0525008	-0.0598522	-0.06273	
0.666892	0.442048	0.697058	0.54637	0.696056	-0.0628318	-0.0573178	-0.0525172	-0.0599251	-0.062691	
0.66951	0.443351	0.699856	0.548124	0.698882	-0.0628989	-0.0573362	-0.05254	-0.0600039	-0.0626568	
