lap4_30_samp	lap4_31_samp	lap4_32_samp	lap4_33_samp	lap4_34_samp	rp2529	rp3548	cur4_30_samp	cur4_31_samp	cur4_32_samp	cur4_33_samp	cur4_34_samp	rp5463	lap4_49_samp	lap4_50_samp	lap4_51_samp	lap4_52_samp	lap4_53_samp	cur4_49_samp	cur4_50_samp	cur4_51_samp	cur4_52_samp	cur4_53_samp
0.234917	0.0828729	0.0712886	0.0964205	0.150429	-0.0598542	-0.0574959	-0.000666658	-0.000805749	-0.000831259	-0.000802434	-0.00089741	-0.0568018	0.251445	0.0735411	0.131922	0.0798741	0.108613	-0.0007939	-0.000816812	-0.000771728	-0.000760329	-0.000925147
0.237652	0.0841606	0.0722519	0.097501	0.152172	-0.0595756	-0.0578953	-0.000823059	-0.000828181	-0.000819379	-0.000727833	-0.000636587	-0.056499	0.254876	0.0745396	0.133489	0.0811512	0.110125	-0.000933426	-0.000677038	-0.000647185	-0.0008523	-0.000778841
0.240387	0.0854483	0.0730501	0.0985815	0.153914	-0.0597016	-0.058041	-0.000959348	-0.00083559	-0.000928516	-0.000890156	-0.00114718	-0.0572065	0.258288	0.0755383	0.135056	0.0824284	0.111637	-0.000756942	-0.00104801	-0.000905684	-0.000748267	-0.000976451
0.243122	0.0867361	0.0734199	0.0996621	0.155657	-0.0603606	-0.0578233	-0.000868536	-0.000661438	-0.000977589	-0.00083829	-0.000735415	-0.0568437	0.2617	0.0765369	0.136623	0.0837056	0.113149	-0.000880897	-0.000986736	-0.00064128	-0.000804325	-0.000762084
0.245857	0.0881053	0.0737876	0.100743	0.157399	-0.0606268	-0.0578198	-0.000763068	-0.000714267	-0.000667971	-0.000850586	-0.000943367	-0.056055	0.265112	0.0775526	0.138191	0.0849828	0.114662	-0.00099052	-0.000809094	-0.00102282	-0.000887346	-0.000854284
0.248592	0.0895459	0.0741552	0.101823	0.159142	-0.0603565	-0.0579536	-0.000993513	-0.000648128	-0.000804689	-0.000794845	-0.000739499	-0.0567268	0.268524	0.0786817	0.139758	0.0863558	0.116174	-0.00084854	-0.000758583	-0.000808785	-0.000875404	-0.000801749
0.251327	0.0909865	0.0745229	0.102904	0.160884	-0.0601437	-0.0578072	-0.000874692	-0.000833188	-0.00109141	-0.000710394	-0.000781915	-0.0571463	0.271936	0.0798154	0.141325	0.0877968	0.117686	-0.000816344	-0.000891139	-0.00100086	-0.00084836	-0.000895917
0.254062	0.0924271	0.0748905	0.103984	0.162627	-0.0604535	-0.0577931	-0.00072582	-0.00110078	-0.000819607	-0.000648786	-0.00082987	-0.0572122	0.275348	0.0809491	0.142892	0.0892376	0.119199	-0.000671377	-0.000879188	-0.000717293	-0.000946038	-0.000662747
0.256797	0.0938675	0.0752581	0.105065	0.164369	-0.0605616	-0.057957	-0.000939557	-0.000946716	-0.000691219	-0.000849502	-0.00086287	-0.0573966	0.27876	0.0820829	0.144459	0.0906786	0.120711	-0.00088307	-0.000932903	-0.000735156	-0.000816841	-0.000793033
0.259532	0.095308	0.0756257	0.106145	0.166112	-0.0601609	-0.0582599	-0.000875042	-0.000738666	-0.000783111	-0.000613383	-0.000776866	-0.0577966	0.282172	0.0832165	0.146026	0.0921195	0.122223	-0.000671241	-0.000746987	-0.000889088	-0.000833892	-0.000962382
0.262219	0.0967486	0.0759933	0.107226	0.167854	-0.0602397	-0.0586948	-0.000776896	-0.00079277	-0.00105048	-0.000988722	-0.000867937	-0.057803	0.285602	0.0843502	0.147577	0.0935605	0.123735	-0.000813414	-0.000877875	-0.000824984	-0.000817981	-0.000745759
0.264813	0.0981892	0.0763609	0.108306	0.169597	-0.0606248	-0.058884	-0.000912515	-0.000749752	-0.00103182	-0.000912505	-0.000740685	-0.0575675	0.289059	0.0854839	0.148586	0.0950016	0.125248	-0.000694268	-0.000823326	-0.00061465	-0.000796088	-0.00110916
0.267407	0.0996299	0.0767285	0.109387	0.171339	-0.0603396	-0.0593284	-0.000951562	-0.000905905	-0.000684665	-0.00068165	-0.000814546	-0.0576988	0.292517	0.0866176	0.149497	0.0964426	0.12676	-0.000819083	-0.000916221	-0.000849142	-0.000820027	-0.000822049
0.270002	0.101071	0.0770961	0.110467	0.172834	-0.0601246	-0.0603518	-0.000672599	-0.000876683	-0.000995382	-0.000611504	-0.000885547	-0.0575769	0.295975	0.0877512	0.150408	0.0978835	0.128272	-0.000828181	-0.000995324	-0.000831581	-0.000726344	-0.000747488
