lap2_5_samp	lap2_6_samp	lap2_7_samp	lap2_8_samp	lap2_9_samp	rp1728	cur2_5_samp	cur2_6_samp	cur2_7_samp	cur2_8_samp	cur2_9_samp	rp3655	lap2_29_samp	lap2_30_samp	lap2_31_samp	lap2_32_samp	lap2_33_samp	cur2_29_samp	cur2_30_samp	cur2_31_samp	cur2_32_samp	cur2_33_samp
0.289375	0.197502	0.239808	0.203585	0.167387	-0.0547508	-0.000716812	-0.000648278	-0.000744528	-0.000531038	-0.000395888	-0.0577575	0.262654	0.260803	0.197434	0.234593	0.233097	-0.000861094	-0.000484922	-0.000723913	-0.00046372	-0.000539516
0.294348	0.200238	0.243252	0.206762	0.169705	-0.0549812	-0.000506211	-0.000678352	-0.000734932	-0.000754215	-0.000641372	-0.0572918	0.266873	0.264601	0.200279	0.237641	0.236154	-0.000401345	-0.000904614	-0.000626674	-0.000737161	-0.000590389
0.29932	0.202975	0.246697	0.209939	0.172023	-0.0547647	-0.000537239	-0.000401511	-0.000432436	-0.000784519	-0.000645803	-0.0572575	0.271093	0.268399	0.203125	0.240689	0.239212	-0.000421786	-0.000747461	-0.000830581	-0.000576384	-0.000667353
0.304292	0.205712	0.250141	0.213116	0.174201	-0.0552832	-0.000670411	-0.000473575	-0.000510769	-0.000855374	-0.000572844	-0.057308	0.275399	0.272197	0.20597	0.243737	0.242269	-0.00055431	-0.000550703	-0.000784896	-0.000591828	-0.000536671
0.309265	0.208449	0.253586	0.216293	0.176115	-0.0553894	-0.000692578	-0.000726407	-0.000706716	-0.000565855	-0.000580757	-0.0574052	0.279737	0.275995	0.208815	0.246785	0.245327	-0.000731655	-0.000406499	-0.000563915	-0.000497726	-0.00061505
0.314237	0.211186	0.25703	0.21947	0.178029	-0.0548594	-0.000651254	-0.000478231	-0.000587797	-0.000609957	-0.000685009	-0.0573952	0.284075	0.279793	0.21166	0.249824	0.248384	-0.000465823	-0.000572503	-0.000647976	-0.000723208	-0.000594133
0.319209	0.213923	0.260475	0.222645	0.179942	-0.0540461	-0.000800911	-0.000655705	-0.000529366	-0.000816594	-0.000586885	-0.0572128	0.288413	0.283569	0.214508	0.252792	0.251442	-0.000614682	-0.000784935	-0.000789135	-0.000506995	-0.000890903
0.324154	0.21666	0.263916	0.225817	0.181856	-0.0535026	-0.000718497	-0.000541966	-0.000766056	-0.000673422	-0.00061804	-0.0570353	0.292751	0.287312	0.217359	0.255756	0.254499	-0.000709821	-0.000565934	-0.000483818	-0.000527952	-0.000662487
0.329093	0.219397	0.267344	0.228989	0.18377	-0.0538132	-0.000685461	-0.000579267	-0.000697641	-0.00069646	-0.000586026	-0.0572075	0.297089	0.291054	0.22021	0.258721	0.257591	-0.000686062	-0.000574989	-0.000594739	-0.000812802	-0.000747844
0.334031	0.222134	0.270772	0.23216	0.185684	-0.0549217	-0.000255689	-0.000569444	-0.000661248	-0.000681029	-0.000563085	-0.0573463	0.301429	0.294797	0.223061	0.261685	0.260739	-0.000601927	-0.00093651	-0.000834179	-0.00075582	-0.000640353
0.33897	0.224871	0.2742	0.235332	0.187597	-0.0555193	-0.000584586	-0.000785801	-0.000612062	-0.000573249	-0.000530846	-0.0569383	0.305938	0.298539	0.225912	0.264649	0.263887	-0.000349335	-0.000866359	-0.000520481	-0.000747142	-0.00049302
0.343909	0.227608	0.277627	0.238504	0.189511	-0.0554115	-0.000621776	-0.000728002	-0.000585661	-0.000703725	-0.000544887	-0.0570118	0.310509	0.302282	0.228763	0.267614	0.267035	-0.00068897	-0.000626743	-0.000617049	-0.000651653	-0.000480664
0.348848	0.230288	0.281055	0.241675	0.191425	-0.0551546	-0.000561093	-0.000397099	-0.000521741	-0.000442868	-0.000653329	-0.0570251	0.315081	0.306024	0.231614	0.270578	0.270183	-0.000698132	-0.000517556	-0.000713036	-0.000617108	-0.00055051
0.35376	0.232822	0.284483	0.244847	0.193339	-0.0560303	-0.000683454	-0.000415533	-0.000781788	-0.00064488	-0.0006318	-0.05751	0.319652	0.309767	0.234465	0.273542	0.273331	-0.00052637	-0.000569959	-0.000644921	-0.000595358	-0.000530979
0.358529	0.235355	0.28791	0.248019	0.195252	-0.057276	-0.000515249	-0.000443884	-0.000660372	-0.000499591	-0.000578111	-0.0575821	0.324223	0.313509	0.237317	0.276507	0.276479	-0.000560036	-0.000629908	-0.000659943	-0.000626638	-0.000677113
0.363294	0.237887	0.291338	0.251191	0.197166	-0.0572038	-0.000531903	-0.000361065	-0.000705556	-0.000513984	-0.000650506	-0.0575617	0.328795	0.3172	0.240168	0.279471	0.279627	-0.000637438	-0.000577648	-0.000606377	-0.00050757	-0.000626043
0.368059	0.24042	0.294765	0.254434	0.19908	-0.0563909	-0.000705889	-0.000664687	-0.000641978	-0.000551813	-0.000524429	-0.0575255	0.333366	0.320866	0.243019	0.282476	0.282775	-0.000641285	-0.000540421	-0.000657078	-0.00054209	-0.000612499
0.372825	0.242953	0.298163	0.257709	0.200993	-0.0565782	-0.000557355	-0.000638808	-0.000464427	-0.000503376	-0.000876813	-0.0579466	0.337951	0.324531	0.245882	0.285513	0.285923	-0.000640031	-0.000580293	-0.00053018	-0.000526726	-0.000618688
0.37759	0.245486	0.301551	0.260983	0.202907	-0.0569276	-0.00064275	-0.000342916	-0.000846162	-0.000574964	-0.000530291	-0.0581491	0.342541	0.328196	0.248765	0.288551	0.289071	-0.000613294	-0.000371067	-0.000487317	-0.000543709	-0.000554473
0.382355	0.248018	0.304938	0.264258	0.204821	-0.0571489	-0.000602805	-0.000572632	-0.000776896	-0.000765805	-0.00050016	-0.0581772	0.34713	0.331862	0.251648	0.291589	0.292109	-0.000536657	-0.000593536	-0.000734541	-0.000691288	-0.00066264
0.387088	0.250551	0.308325	0.267533	0.206734	-0.0576244	-0.000430683	-0.00064774	-0.000697871	-0.00068522	-0.000600163	-0.0577434	0.35172	0.335527	0.254531	0.294627	0.295096	-0.000593442	-0.000694603	-0.000429936	-0.000666225	-0.000650601
0.39168	0.253084	0.311713	0.270808	0.208648	-0.0581255	-0.000517094	-0.000748904	-0.000568159	-0.000628489	-0.000760201	-0.0573606	0.356309	0.339193	0.257414	0.297664	0.298084	-0.000666802	-0.000869347	-0.000565308	-0.000522008	-0.000668623
0.39627	0.255616	0.3151	0.274083	0.210432	-0.0585671	-0.000624353	-0.000535999	-0.000743087	-0.000610661	-0.00066631	-0.0574088	0.360899	0.342858	0.260297	0.300702	0.301071	-0.000687429	-0.000678383	-0.000612885	-0.000534616	-0.000626296
0.400859	0.258149	0.318487	0.277357	0.212136	-0.0587759	-0.000849303	-0.000528164	-0.000626056	-0.000680572	-0.000644873	-0.0577467	0.365489	0.346523	0.26318	0.30374	0.304059	-0.000591325	-0.000416476	-0.000496019	-0.000450928	-0.000329678
0.405448	0.260681	0.321874	0.280632	0.21384	-0.0583201	-0.000579162	-0.000520651	-0.000643156	-0.000609527	-0.000525633	-0.0576343	0.370108	0.350131	0.266064	0.306778	0.307046	-0.000664324	-0.000855347	-0.000489333	-0.000661239	-0.000730163
0.410038	0.263214	0.325262	0.283911	0.215545	-0.0578576	-0.000640216	-0.000629608	-0.000757217	-0.000613558	-0.000707697	-0.0575078	0.374733	0.353721	0.268947	0.309816	0.310034	-0.000760941	-0.000596508	-0.000669562	-0.00051974	-0.000549116
