lap2_17_samp	lap2_18_samp	lap2_19_samp	lap2_20_samp	lap2_21_samp	lap2_22_samp	lap2_23_samp	cur2_17_samp	cur2_18_samp	cur2_19_samp	cur2_20_samp	cur2_21_samp	cur2_22_samp	cur2_23_samp	rp24332
0.11444	0.211916	0.240663	0.215883	0.29358	0.240218	0.121174	-0.000670427	-0.000241829	-0.000549834	-0.000594911	-0.000855325	-0.000384405	-0.000760515	-0.0590119
0.11536	0.214221	0.24317	0.218376	0.296884	0.243014	0.122683	-0.00065864	-0.000726469	-0.000595979	-0.000654785	-0.000677767	-0.000746339	-0.000695086	-0.0593133
0.11628	0.216527	0.245676	0.220869	0.300188	0.245809	0.124192	-0.000782799	-0.000834847	-0.000519746	-0.000787611	-0.000507458	-0.000776172	-0.000567559	-0.0587735
0.117199	0.218832	0.248183	0.223363	0.303509	0.248604	0.125701	-0.000571821	-0.000671686	-0.00067975	-0.000606803	-0.00055382	-0.000763775	-0.000658665	-0.0587693
0.118119	0.221138	0.25069	0.225856	0.306846	0.251399	0.127211	-0.00113408	-0.0010603	-0.000472574	-0.000960475	-0.000728763	-0.000942209	-0.000708074	-0.0596567
0.119039	0.223443	0.253196	0.228349	0.310184	0.254194	0.12872	-0.000580535	-0.000693771	-0.000611531	-0.000709103	-0.000572688	-0.000613718	-0.000500433	-0.0594867
0.119959	0.225749	0.255703	0.230843	0.313521	0.25699	0.13023	-0.000579658	-0.000505099	-0.000558271	-0.000495443	-0.000791467	-0.000436597	-0.000663223	-0.0591607
0.120879	0.228054	0.258209	0.233313	0.316859	0.259785	0.131739	-0.000971814	-0.000763046	-0.000757904	-0.000809322	-0.000671018	-0.000608151	-0.000454746	-0.0592595
0.121799	0.230267	0.260716	0.235778	0.320196	0.26258	0.133249	-0.00067561	-0.000850129	-0.000886403	-0.000406685	-0.000407423	-0.000916586	-0.000730066	-0.0593862
0.122718	0.232466	0.263223	0.238244	0.323534	0.265375	0.134758	-0.00064456	-0.000475113	-0.000643836	-0.000512094	-0.000491459	-0.000644026	-0.000682974	-0.0596076
0.123638	0.234666	0.26561	0.240709	0.326871	0.26817	0.136267	-0.000772443	-0.000810229	-0.000403282	-0.00066009	-0.000618502	-0.00035295	-0.000647916	-0.0599728
0.124558	0.236866	0.267962	0.243175	0.330208	0.270965	0.137777	-0.000859285	-0.000872842	-0.000584978	-0.000913564	-0.000359632	-0.000843519	-0.000662075	-0.0611541
0.125478	0.239065	0.270314	0.24564	0.333546	0.273734	0.139286	-0.000559207	-0.000869839	-0.000715195	-0.000856148	-0.000773311	-0.000504136	-0.000474626	-0.0611582
0.126398	0.241265	0.272667	0.248106	0.33689	0.276482	0.140795	-0.000540069	-0.000891967	-0.000636988	-0.000676396	-0.000613805	-0.000428383	-0.00082165	
0.127317	0.243465	0.275019	0.250572	0.340234	0.27923	0.142305	-0.000512923	-0.000713395	-0.000553887	-0.000945269	-0.000749476	-0.000611413	-0.000585488	
0.128237	0.245664	0.277371	0.253037	0.343579	0.281978	0.143814	-0.000553139	-0.000836012	-0.000859384	-0.00044175	-0.000941209	-0.0007791	-0.000664666	
0.129157	0.247864	0.279723	0.255503	0.346924	0.284726	0.145324	-0.00055835	-0.000563997	-0.00078093	-0.000431407	-0.000723163	-0.000404364	-0.000836147	
0.130077	0.250064	0.282075	0.257969	0.350268	0.287474	0.146833	-0.000695207	-0.000758123	-0.000443546	-0.000510696	-0.000734415	-0.000548834	-0.00081565	
0.130997	0.252263	0.284427	0.260434	0.353613	0.290222	0.148343	-0.000442134	-0.000809203	-0.000525529	-0.000672608	-0.000592572	-0.000641518	-0.000750234	
0.131916	0.254463	0.286779	0.2629	0.356957	0.29297	0.149958	-0.000752611	-0.000493522	-0.000550281	-0.000553204	-0.000463357	-0.000811198	-0.000585521	
0.132836	0.256662	0.289131	0.265372	0.360302	0.295718	0.151664	-0.000774101	-0.000617855	-0.000625639	-0.000529514	-0.000557682	-0.000960153	-0.000745455	
0.133756	0.258862	0.291483	0.267845	0.363646	0.298466	0.153371	-0.000734433	-0.000340808	-0.000641716	-0.00072086	-0.000945173	-0.000659719	-0.000991086	
0.134676	0.261061	0.293835	0.270317	0.366988	0.301214	0.155077	-0.000679347	-0.000716287	-0.00102611	-0.000902565	-0.000658318	-0.000632132	-0.000623554	
0.135595	0.263196	0.296187	0.272789	0.370326	0.303962	0.156783	-0.00036089	-0.000697168	-0.000801748	-0.000481332	-0.000542425	-0.000821171	-0.000942977	
0.136515	0.265286	0.298483	0.275262	0.373663	0.306663	0.158489	-0.00065395	-0.000902248	-0.000751601	-0.00054201	-0.000698888	-0.000772132	-0.000584137	
0.137435	0.267376	0.300722	0.277734	0.377001	0.309325	0.160195	-0.000813897	-0.000804238	-0.000540461	-0.000524872	-0.000693739	-0.000560836	-0.00014215	
0.138355	0.269466	0.30296	0.280207	0.380338	0.311987	0.161901	-0.000645155	-0.000892961	-0.000451548	-0.000707322	-0.000710223	-0.000650266	-0.000642113	
0.139274	0.271556	0.305198	0.282679	0.383675	0.314649	0.163607	-0.000518045	-0.000606279	-0.000732014	-0.000568175	-0.000582875	-0.000750567	-0.000483524	
0.140194	0.273645	0.307436	0.285152	0.387013	0.317311	0.165313	-0.000281401	-0.000640995	-0.000899235	-0.000661688	-0.000715603	-0.000594909	-0.000706961	
0.141114	0.275735	0.309674	0.287624	0.39035	0.319973	0.167019	-0.000559292	-0.000559695	-0.00129984	-0.000772269	-0.000659554	-0.000590608	-0.000522536	
0.142034	0.277825	0.311912	0.290096	0.393688	0.322635	0.168725	-0.000549829	-0.000560649	-0.000104375	-0.000465658	-0.000552535	-0.000736493	-0.000764993	
0.142954	0.279915	0.31415	0.292569	0.397025	0.325297	0.170431	-0.000581707	-0.000444151	-0.0006551	-0.000581376	-0.00064388	-0.000935075	-0.000534227	
0.143874	0.282005	0.316388	0.295058	0.400376	0.327959	0.172137	-0.000836912	-0.000637508	-0.000791578	-0.000763719	-0.000368789	-0.000987088	-0.000687396	
0.144794	0.284095	0.318626	0.297586	0.403728	0.330621	0.173843	-0.000384932	-0.000860891	-0.000583701	-0.000912718	-0.000614499	-0.000511436	-0.000753696	
0.145713	0.286184	0.320865	0.300115	0.407081	0.333283	0.175549	-0.000894823	-0.000533217	-0.00067214	-0.000761614	-0.000372197	-0.000331912	-0.000704695	
0.146633	0.288274	0.323103	0.302644	0.410434	0.335945	0.177255	-0.000682887	-0.000324682	-0.0007222	-0.000611559	-0.000528874	-0.000639104	-0.000556153	
0.147553	0.290364	0.325341	0.305173	0.413787	0.3386	0.179093	-0.000518663	-0.000642141	-0.000746334	-0.000721954	-0.000357437	-0.000827749	-0.000899454	
